0.30 агрн. инарҭбааны	0,30 грн. подробнее
Агәҽанҵара	Предупреждениe
Агәҽанҵара	Предупреждение
Агәҽанызаара: аҭалара ашьақәырӷәӷәара анаҿаку, амацзура ажәамаӡа аиҭашьақәыргылара аҭел аномер ала узыҟаҵаӡом. Уи азы ишәабжьаҳгоит шәдаҟьа иадшәҳәыларц аус зуа а-email, иашәырьарц ииашаны ахьӡи ажәлеи, иҭажәгаларц шәыԥшранҵақәа ихаданы, анаҩс архиарақәа нашәыгӡаанӡа.	Внимание: когда подтверждение входа включено, услуга восстановления пароля по номеру телефона становится недоступной. Поэтому настоятельно рекомендуем привязать к странице актуальный email, указать истинные имя и фамилию и загрузить свои настоящие фотографии в качестве главных, прежде чем продолжить настройку.
Агәҿанҵара	Предупреждение
Агәыбзиара	Здоровье
Агәыдкылара амш	День поцелуя
Агәыла	Соседи
Агәылаҵақәа ирҭагалоу аҳасабырба астатус аԥсахра	Изменение статуса отчёта из закладок
Агәылаҵарақәа збо шәхала шәоуп	Закладки видны только вам
Агәылаҵа:	Содержимое:
— агәымбылџьбарареи амч ахархәареи рызланҵара ма рсахьа.	— изображение или описание жестокости или насилия.
Агәымшәареи аҽазҵәылхреи	Смелость и упорство
Агәынамӡара мап ацәкупнено	Возражение отклонено
Агәыԥ {group} азҵааранҵа	Опрос группы {group}
Агәыԥ: %s	Разработчик: %s
Агәыԥ ақьаадқәа рахь аиасра	К файлам группы
Агәыԥаҟны %s ҩызак/Агәыԥаҟны %s аҩызцәа/Агәыԥаҟны %s аҩызцәа	В группе %s друг/В группе %s друга/В группе %s друзей
Агәыԥ аҟны агәыҳалалра	Пожертвование в группе
Агәыԥ аҟынтәи аныхра	Удалить из группы
Агәыԥ алаларазы аҳәара	Заявки в группу
Агәыԥ анапхгаҩцәеи аредақторцәеи мацара	Только редакторы и администраторы
Агәыԥ аԥшранҵақәа	Фотографии группы
Агәыԥ аҭалара	Вступить в группу
Агәыԥ ахкы:	Тип группы:
Агәыԥ ахыԥхьаӡареихшьала ахь анеирҭа	Доступ к статистике групп
агәыԥахь {group} {date}	в группу {group} {date}
Агәыԥ ахь ааԥхьара	Пригласить в группу
Агәыԥ ахь аиасра	Перейти в группу
Агәыԥ ахь аиасра	Перейти к группе
Агәыԥахь анеирҭа	Доступ к группам
агәыԥахь анеирҭа	доступ к сообществам
Агәыԥахь ахынҳәра	Вернуться к группе
Агәыԥахь ацҵара	Добавить в группу
Агәыԥахь аҽаҵаҩҩра	Подписка на группу
агәыԥ ахьӡала	от имени сообщества
Агәыԥ ахьӡала	От имени сообщества
Агәыԥаҿы аилыргара ала аԥшаара	Поиск по обсуждениям в группе
Агәыԥ аҿы атемақәа макьана иҟаӡам.	В сообществе пока нет тем.
агәыԥ	группа
Агәыԥ	Группа
Агәыԥкәа рсиа	Список групп
Агәыԥ	Команда
Агәыԥ ражәабжьқәа	Команда
Агәыԥ рблог	Блог Команды
Агәыԥ рынҵамҭа	запись группы
Агәыԥтә аиларгара ахьӡынҵа аҟнытә атема ныхуп.	Тема удалена из списка обсуждений группы.
Агәыԥтә асра %s	Групповой звонок %s
Агәыԥтә асра	Групповой звонок
Агәы	Сердце
Агәыҳалалра	Благотворительность
Агәышьҭынҵра	Увлечения и хобби
Агент СГБ	Агент КГБ
Агеографиа	География
Агимназиа	Гимназия:
Аглитч-хыбаҩ	Глитч-череп
аглобалтә	глобальный
Аградус	Градус
Аграф	Граф
Аграффити адәахьтәи асаит аҟны	Граффити на внешнем сайте
Аграффити аныхра	Стереть граффити
Аграффити аркра	Закрыть граффити
Аграффити аҭӡамц аҿы · {user}	Граффити на стене {user}
[Аграффити]	[Граффити]
Аграффити	Граффити
Аграффити шьҭӡам	Граффити не отправлено
агрив.	грн.
Агусар ТНТ	Гусар ТНТ
Агха: {error_code}	Ошибка: {error_code}
Агха АТОЛ: Ахатәыхьӡ ма амаӡажәа иашаӡам	Ошибка АТОЛ: Неправильные логин или пароль
Агха ахҳәаа: {error}	Описание ошибки: {error}
Агха. Ацҳамҭа текст иарбаӡам	Ошибка. Не указан текст сообщения.
Агха. Аҿаҵатәы ԥшаам.	Ошибка. Заказ не найден.
Агха еиҭа ицәырҵуа иалагар, афотосахьа ахаҭа еиқәырханы дырҩегьых иҭажәгала.	Если ошибка продолжает возникать, попробуйте сохранить оригинал фотографии и загрузить её повторно.
Агха иазку азыцҳара	Сообщить об ошибке
Агха иазку ацҳамҭа	Сообщение об ошибке
Агхақәа ражәамӡақәа	Коды ошибок
Агхақәа рпроцент	Процент ошибок
Агхақәеи ауадаҩрақәеи	Ошибки и проблемы
Агха ҟалазар ҟалап, мамзаргьы ашәатәы мап ацәкын	Возможно, произошла ошибка или платёж был отменён
Агха ҟалеит авидео ацҵараан (авидео аныхзар акәхап)	Ошибка при добавлении видео (возможно, видео удалено)
Агха ҟалеит, ажәамаӡа агха: {code}	Возникла ошибка, код ошибки: {code}
Агха ҟалеит ажәеиларкка аиҭашьақәыргылараан	Ошибка при восстановлении комментария
Агха ҟалеит ажәеиларкка аныхра аан	Ошибка при удалении комментария
Агха ҟалеит азгәаҭа ацҵараан (азгәаҭа аныхзар акәхап)	Ошибка при добавлении заметки (возможно, заметка удалена)
Агха ҟалеит азхьарԥш ацҵараан (азхьарԥш аныхзар акәхап)	Ошибка при добавлении ссылки (возможно, ссылка уже была добавлена)
Агха ҟалеит аилыргара ацҵараан (аилыргара аныхзар акәхап)	Ошибка при добавлении обсуждения (возможно, обсуждение удалено)
Агха ҟалеит ақәыԥшыла ашьаҭа аҟынтә аныхраан.	Ошибка при удалении шаблона из базы.
Агха ҟалеит аԥшранҵа ацҵараан (аԥшранҵа аныхзар акәхап)	Ошибка при добавлении фото (возможно, фото удалено)
Агха ҟалеит аԥшьы ацҵараан (аԥшьы аныхзар акәхап)	Ошибка при добавлении приложения (возможно, приложение удалено)
Агха ҟалеит ахархәаҩ иацҵараан (ахархәаҩ дыҟамзар акәхап)	Ошибка при добавлении пользователя (возможно, пользователь не существует)
Агха ҟалеит	Произошла ошибка
Агха ҟалеит.	Произошла ошибка.
Агха	Ошибка
Агха:	Ошибка
Агха:	Ошибка:
Агха цәырҵит, агха акод: {code}	Возникла ошибка, код ошибки: {code}
Агха: шәара шәхатәы модуль заҵәык cs7777 аҿы анеирҭа амоуп.	Ошибка: этот модуль доступен только из-под вашего собственного домена на cs7777.
Агырхара	Сократить
Аӷәӷәаны	Строгий
ада:	кроме:
адақьа аанкылоуп	страница заблокирована
Адақьа аанкылоуп	Страница заблокирована
Адақьа аанкылоуп.	Страница заблокирована.
Адаҟьа %s ахь аиасра	Перейти к странице %s
Адаҟьа {user} аанкылан изтәу иаҳәарала.	Страница {user} заблокирована по просьбе владельца.
Адаҟьа аанкылан ари еиԥш аинформациа за аҭагаларҭаҿы «Сара исызкны»:	Аккаунт заблокирован за такую информацию в поле «О себе»:
Адаҟьа аанкылан иахьышьҭыз зыгәра гам ахҳәаақәа.	Аккаунт заблокирован за отправку подозрительных комментариев:
Адаҟьа аанкылан иахьышьҭыз зыгәра гам ацҳамҭақәа.	Аккаунт заблокирован за отправку подозрительных сообщений.
Адаҟьа аанкылан иахьышьҭыз зыгәра гам ацҳамҭақәа:	Аккаунт заблокирован за отправку подозрительных сообщений:
Адаҟьа аанкылара	Заблокировать страницу
Адаҟьа аанкылоуп {date} аҟынӡа	Страница заблокирована до {date}
Адаҟьа аанкылоуп анаҩс аҭалара аҟынӡа	Страница заблокирована до первого входа
Адаҟьа аанкылоуп	Страница заблокирована.
Адаҟьа аартразы ҳшәыҳәот ишьақәшәырӷәӷәарц адаҟьа шәара ишышәтәу, ажьамаӡа шәыԥсахырц.	Чтобы разблокировать страницу, мы просим Вас подтвердить, что Вы владелец страницы, и сменить пароль.
Адаҟьа аартра	Открыть профиль
Адаҟьа аартра	Открыть страницу
Адаҟьа ажәытә email	Старый email страницы
Адаҟьа азҵааранҵа {group}	Опрос страницы {group}
Адаҟьа аидентификатор:	Идентификатор страницы:
Адаҟьа аиқәырхоуп	Сохранить страницу
Адаҟьа аиҭагара	Перевести в страницу
Адаҟьа аиҭашьақәыргылара	Восстановить страницу
Адаҟьа аиҭашьақәыргылара	Восстановление страницы
адаҟьа анҵамҭа	запись страницы
Адаҟьа анҵамҭа	запись страницы
адаҟьа аныхуп наунагӡа.	страница удалена навсегда.
Адаҟьа аԥҵара	Создать страницу
Адаҟьа ариашара	Редактировать страницу
Адаҟьа аркра	Закрыть страницу
Адаҟьа аркуп	Страница скрыта
Адаҟьа архиагақәа	Настройки страницы
Адаҟьа архиара	Настройки профиля
Адаҟьа аҭыӡҭыԥ	Адрес страницы
Адаҟьа аҭыӡҭыԥ:	Адрес страницы
Адаҟьа аҭыӡҭыԥ:	Адрес страницы:
Адаҟьа аус адулара	Действия со страницей
Адаҟьа ахархәара азуп иаарҳәу аилаӡараамаӡура ахҳәаақәа аилакра аҟынтәи.	Страница используется для обратной совместимости сервиса комментариев от имени сообщества.
Адаҟьа ахә ршьеит	Оценили страницу
Адаҟьа ахкы	Тип профиля
Адаҟьа ахкы	Тип страницы
Адаҟьа ахыԥхьаӡараҭҵаарҭа	Статистика страницы
Адаҟьа ахь ашшра	Пожаловаться на пользователя
Адаҟьа ахьӡ ҭажәгал	Введите название страницы
Адаҟьа ацәгьахәыццәа арымхрази азакәандара аанкыларази шәдаҟьа ааныҳкылар акәхеит.	Чтобы вырвать страницу из рук злоумышленников и остановить беспредел, нам пришлось её заблокировать.
Адаҟьа ашҟа шәиас	Перейдите на страницу
Адаҟьа ашьақәырӷәӷәара	Подтверждение страницы
Адаҟьа еиқәырхоуп	Страница сохранена
Адаҟьа иаанкылоуп	Аккаунт заблокирован
Адаҟьа иамоуп агха:	Страница с ошибкой:
Адаҟьа иқәышаҳаҭгаӡам	Страница не верифицирована
Адаҟьа иқәышаҳаҭгоуп	Страница верифицирована
Адаҟьа иманшәаланы еиқәырхоуп	Страница успешно сохранена
Адаҟьақәа	Pages
Адаҟьақәа %s дызҵаҩҩу/Адаҟьақәа %s дызҵаҩҩу	Страницы, на которые подписан %s/Страницы, на которые подписана %s
Адаҟьақәа рыла аԥшаара	Поиск по страницам
Адаҟьақәа	Страницы
Адаҟьаҟны акьыԥхьра	Опубликовать на странице
Адаҟьа наӡаӡа иаанкылоуп.	Страница заблокирована навсегда.
Адаҟьа номер – %s	Номер страницы – %s.
Адаҟьа ныхра	Удаление страницы
Адаҟьа ныхра	Удалить страницу
Адаҟьа ныхуп	Страница удалена
Адаҟьа ныхуп.	Страница удалена.
Адаҟьа	Профиль
Адаҟьа ԥшаам	Страница не найдена
Адаҟьа ԥшаам.	Страница не найдена.
Адаҟьа рҵаауп	Страница заморожена
[Адаҟьа]	[Страница]
Адаҟьа	Страница
Адаҟьа:	Страница:
Адаҟьатәи ажәытә email	Старый email страницы
Адаҟьатәи сыԥшранҵақәа	Фотографии с моей страницы
Адаҟьа ҭыӡҭыԥ	Адрес страницы
Адаҟьахь азхьарԥшра:	Ссылка на страницу:
Адаҟьахь азхьарԥш	Ссылка на страницу
Адаҟьахь азхьарԥш:	Ссылка на страницу:
Адаҟьахь азыхынҳәра	перейти к странице
Адаҟьахь аиасра %s	Перейти к странице %s
Адаҟьахь аиасра	Перейти в профиль
Адаҟьахь аиасра	Перейти к странице
Адаҟьахь аҭагалара	Опубликовать на странице
адаҟьахь ахынҳәра	вернуться к странице
Адаҟьахь ахынҳәра	Вернуться к странице
Адаҟьа ҵәахуп	Страница скрыта
Адаҟьаҿы аарԥшра:	Показывать на странице:
Адаҟьаҿы анҵара	Опубликовать на странице
адаҟьаҿын афотоҭыхымҭа иирҿыцит:/адаҟьаҿын афотоҭыхымҭа илырҿыцит:	обновил фотографию на странице:/обновила фотографию на странице:
Адаҟьа ҿыц аԥҵара	Создать новую страницу
Адаҟьа шәазышшра {owner_link} иахәаԥшуп. Иҭаҳҵааит шәдаҟьа аҟынтәи иҟаҵаз аҵыхәтәантәи ахҭысқәа, уи азы иаанкылоуп.	Ваша жалоба на страницу {owner_link} рассмотрена. Мы изучили последние действия, которые совершались с этой страницы, и заблокировали её.
Адаԥа аарԥшра	Показывать рамку
Адәахьтәи азхьаԥшра	Внешняя ссылка
Адәқьан 2.0	Магазин 2.0
Адәқьан аартра	Открыть магазин
Адәқьан архиагақәа еиқәырхоуп.	Настройки магазина сохранены.
Адәқьан аҭыӡҭып:	Адрес магазина:
Адәқьан ахь аиасра	Перейти в магазин
Адәқьан ахь	В магазин
Адәқьанқәа зегьы	Все магазины
Адәқьанқәа	Магазины
Адәқьан	Магазин
Адәқьан:	Магазин:
Адәыӷба авокзал	Железнодорожный вокзал
Адәықәцара	Отправить
Адәықәҵара	Запустить
Адәықәҵара	Отправить
Адгаларақәа %s рзы	Рекомендации для %s
Адгаларақәа зегьы арбара	Показать все рекомендации
Адгаларақәа макьана иҟаӡам	Рекомендаций пока нет
Адгаларақәа	Предложения
Адгаларақәа	Рекомендации
Адгалара	Рекомендовать
Адгалара ҵәахуп.	Рекомендация скрыта.
Адгылара	Поддержать
Адгьылбжьаха Норфолк	Остров Норфолк
Адгьылҵысра	Землетрясение
Адемографиа	Демография
Адизаинеи аграфики	Дизайн и графика
Адин	Религия
Адинтә хәаԥшышьа	Мировоззрение
Адинтә хәаԥшышьа:	Мировоззрение:
Адинхаҵара	Религия
Адинхаҵаратә усбарҭа	Религиозное учреждение
Адискотека	Дискотека
Адистанционтә рцара	Дистанционное обучение
Адкылара	принять
Адкылара	Принять
Адлара	Присоединиться
Администратор далшәх	Выберите администратора
Адныҳәаларақәа раамҭа	Время поздравлений
Адныҳәалара	Поздравить
Адныҳәалара	Поздравление
Адокумент адҵара	Прикрепление документа
Адокумент асахьа ҭышәх	Сфотографируйте документ
Адокументациа ахь аиасра	Перейти к документации
Адокументациа	Документация
адолл.	долл.
Адонцәа	Доны
Адунеи зегьы	Все страны
Адунеитә аҳәса рымш	Международный женский день
Адунеихәаԥшышьа:	Мировоззрение:
Адҳәалара	Привязать
Адҳәалара	Прикрепить
Адҵаалара адкылара	Принять запрос
Адҵаалара	Запрос
Адҵаалара	Запросить
Адҵааларақәа	Запросы
Адҵаалара ныхра	Удаление запроса
Адҵақәа	Задания
Адыд	Гром
Адымҳәалара	Не прикреплять
Адырга ацҵара	Добавить метку
Адырга ианышәҵа	Введите метку
Адыргақәа еиқәырхоуп	Метки сохранены
Адыргақәа	Метки
Адырга	Метка
Адырга ҷыдақәа	Символы
адыррақәа азхаӡом	не хватает данных
Адыррақәа аиура	Получить данные
Адыррақәа амш	День знаний
Адыррақәа аҭыгаразы адҵаалара ҟашәымҵазар, шәдаҟьа ажәамаӡа шәыԥсах, насгьы активтә сеансқәа нашәыгӡа ашәарҭадаратә рхиагақәа рҿы. Шәдаҟьа шәзымҭалозар, ҳшәыҳәоит, абри азхьарԥш ала еиҭашьақәшәыргыл.	Если вы не запрашивали выгрузку данных, измените пароль от аккаунта ВКонтакте и завершите все активные сеансы в настройках безопасности. Если вы потеряли доступ к своей странице, пожалуйста, попробуйте восстановить его по этой ссылке.
Адыррақәа аус рыдурылара	Storage
адыррақәа ахархәаҩцәа зегьы ирбалар алшоит.	информация станет видна всем пользователям.
Адыррақәа еиҭа {timer} ала рдәықәҵара	Отправить данные повторно через {timer}
Адыррақәа еиҭа рдәықәҵара	Отправить данные повторно
Адыррақәа қәҿиарала идәықәҵоуп!	Данные успешно отправлены!
Адыррақәа рарбара	Указать данные
Адыррақәа рҳәааҭагалара	Импорт данных
Адыррақәа рыԥсахрақәа рԥыхра	Отменить данные изменения
Адыррақәа рыхьчара	Защита данных
Адырранҵа анизышәышьҭлак ашьҭахь, ҳшәыҳәоит ацхыраара шәызҭо агент иахь ишәымоу азҵааара шәазыхынҳәырц.	Отправив ему сообщение, пожалуйста, вернитесь в вопрос к своему агенту Поддержки.
Адырранҵа	Описание
Адырраҭақәа аиура facebook ала	Получение данных через facebook
Адырраҭара email ала	Уведомления по электронной почте
Адырраҭара аԥҵара	Создать трансляцию
Адырраҭара асаит аҿы	Уведомления на сайте
Адырраҭара	Информация
Адырраҭарақәа рзы азымцҳара	Не увед. о трансляциях
Адырраҭарақәа рзы азыцҳара	Увед. о трансляциях
Адырраҭарақәа рыхҩылаа аҿы арбара	Отображать в ленте уведомлений
Адырраҭарақәа	Трансляции
Адырраҭара ркуп	Информация скрыта
Адырраҭара ыҟаӡам	Информация отсутствует
Адҩыла аныхра	Удалить надпись
Адҩыла ацҵара	Добавить надпись
аевро	евро
Аевро	Евро
Аезотерика	Эзотерика
Аекономиатә	Экономические
Аекономикатә	Экономическая
Аекономикеи афинансқәеи	Экономика и финансы
Аекскурсиа алагара	Начать экскурсию
Аексперт	Эксперт
аекспорт ашьақәыргылара	настроить экспорт
Аекспортра	Экспортировать
Аекспорт	Экспорт
Аекспресс	Экспресс
Аекстремалтә аиндаҭлара	Экстремальный спорт
Аекстремизм	Экстремизм
Аелектроника	Электроника
Аелектроникеи, абзазаратә техникеи	Электроника и бытовая техника
Аелектронтә амузыка	Электронная музыка
Аелектронтә ԥарақәа	Электронные деньги
Аелектронтә ԥошьҭа ардырра	Электронная почта для уведомлений
Аелектронтә ԥошьҭа аҭыӡҭыԥ аформат иашам.	Неверный формат адреса электронной почты.
Аелектронтә ԥошьҭа ииашам аҭыӡҭыԥ.	Неверный адрес электронной почты.
Аелектронтә ԥошьҭа ихарҭәаатәуп	Необходимо заполнить электронную почту
Аелектронтә ԥошьҭахь анаӡатҭатә ҭыӡҭыԥ	Доступ к адресу электронной почты
Аелектронтә ԥошьҭа	Электронная почта
Аелектронтә ԥошьҭа:	Электронная почта:
Аелеқтроника насгьы аудио	Электроника и аудио
Аелеқтроника	Электроника
Аелеқтронтә пошьҭа	Электронная почта
Аелеқтронтә ԥара	Электронные деньги
Аелеқтронтә	Электронная
Аеропорт	Аэропорт
Аеротика	Эротика
Аеффект гәаҭара	Попробовать эффект
Аеффектқәа ацҵара	Добавить эффекты
Аеффектқәа	Эффекты
Аеффект	Эффект
Аешьа Амзарҟәыл	Шишка Братишка
Ажанр — {val}	Жанр — {val}
ажанр:	жанр:
Ажанр	Жанр
Ажанр:	Жанр:
Ажәа аԥсахра	Изменить слово
Ажәа баӷырӡам, аха шәахьхәыр ҟалоит.	Слово не воробей — но вы ещё можете передумать.
Ажәабжь адгалара	Предложить
ажәабжь адгалара	предложить новость
ажәабжь адгалара	Предложить новость
Ажәабжь адгалара	Предложить новость
Ажәабжь акьыԥхьра	Опубликовать новость
Ажәабжь ацҵара	Добавить новость
Ажәабжь кьыԥхьуп.	Новость опубликована.
Ажәабжьқәа{user}	Новости {user}
Ажәабжьқәа адаҟьақәа рҟынтәи арбара	Показывать новости от страниц
Ажәабжьқәа адаҟьақәа рҟынтәи раныхра	Исключать новости от страниц
Ажәабжьқәа азҿлымҳара амаӡам	Новости не интересны
Ажәабжьқәа акыԥхьра аамҭала	Новости по времени публикации
Ажәабжьқәа арбара	Показывать новости
Ажәабжьқәа арҳәра	Скрывать новости {user}
Ажәабжьқәа ахь аиасра »	Перейти к новостям »
Ажәабжьқәа аҵәахра	Скрывать новости
ажәабжьқәа зегьы	все новости
Ажәабжьқәа зегьы	Все новости
Ажәабжьқәа	Материалы
Ажәабжьқәа:	Материалы:
ажәабжьқәа	новости
Ажәабжьқәа	Новости
Ажәабжьқәа рахь аҽаҵаҩҩра	Подписаться на новости
Ажәабжьқәа реишьҭагылашьа ҿыц	Новый порядок новостей
Ажәабжьқәа рҟнытә аҽаныхра	Отписаться от новостей
Ажәабжьқәа рҟынтәи аҵәахра	Скрыть из новостей
Ажәабжьқәа рҟынтәи аҽаныхра	Отписаться от новостей
Ажәабжьқәа рҭагалараан ԥынгылак ҟалеит. Ԥытрак ашьҭахь шәеиҭадҵаала.	Произошла ошибка при загрузке новостей. Попробуйте повторить запрос позднее.
Ажәабжьқәа рҽаҵаҩҩра	Подписаться на новости
Ажәабжьқәа рыӡхьынҵа	Списки новостей
Ажәабжьқәа рыҟәша	раздел Новостей
Ажәабжьқәа рыла аԥшаара	Поиск новостей
Ажәабжьқәа рыԥшаара	Поиск новостей
Ажәабжьқәа рыхьӡынҵа аԥсахра	Редактировать списки новостей
Ажәабжьқәа рыхьӡынҵа ахьыӡ анышәҵа	Введите название списка новостей
Ажәабжьқәа рыхьӡынҵа ахьыӡ иауцәоуп	Название списка новостей слишком длинное
Ажәабжьқәа рыҵәахра {group}	Скрыть новости {group}
Ажәабжьқәа рыҵәахра{user}	Скрыть новости {user}
Ажәабжьқәа рыҵәахра	Скрывать новости
Ажәабжьқәа ыҟаӡам	Нет новостей
Ажәабжьқәеи аидкылахкынҵақәеи	Новости и журналы
Ажәабжьқәеи аполитикеи	Новости и политика
Ажәабжь ҿыцқәа	Newsfeed
Ажәабжь ҿыцқәа	Новости
Ажәабжь ҿыцқәа рааԥшра	Показывать новости
Ажәабжь ҿыцқәа рылҵшәахыԥшаа	Результаты поиска в новостях
Ажәабжь ҿыцқәа рыхьӡынҵақәа	Списки новостей
Ажәабжь ҿыцқәа	Свежие новости
Ажәабжь ҿыцқәеи амш зеиԥшрахоуи	Новости и погода
Ажәабыжьқәа рырхиара	Настроить новости
Ажәа имыцхәны икьаҿцәоуп.	Слишком короткое слово.
Ажәақәа ацҳамҭаҿы еилыргам	Слова в сообщении не распознаны
Ажәалагала гәаҭоуп.	Предложение проверено.
Ажәалагалақәа	Предложения
Ажәалагалақәа ыҟаӡам.	Нет предложений.
Ажәалагала уажәшьҭа игәаҭоуп.	Предложение уже обработано.
Ажәамаӡа азышьҭра	Отправить код
Ажәамаӡа аиқәырхара	Сохранить пароль
Ажәамаӡа аиҭашьақәыргылара	Восстановление пароля
Ажәамаӡа аиура	Получить код
Ажәамаӡа аҟны абжьажь ыҟамзароуп	Пароль не должен содержать пробелов
Ажәамаӡа аныхра	Сбросить пароль
Ажәамаӡа аԥсахра	Изменение пароля
Ажәамаӡа аԥсахра	Изменить пароль
Ажәамаӡа аԥҵара	Создание пароля
Ажәамаӡа арбаӡам	Пароль не указан
Ажәамаӡа арбара	Ввести код
Ажәамаӡа арбара	Указать пароль
Ажәамаӡа арҵабыргра	Подтвердите пароль
Ажәамаӡа аҿырԥштәы: %s	Пример пароля: %s
Ажәамаӡа ашьақәыргылара	Установить пароль
Ажәамаӡа ашьҭра	Отправить
Ажәамаӡа даара иԥсыҽуп	Очень слабый пароль
Ажәамаӡа дәықәҵуп	Пароль отправлен
Ажәамаӡа жәытә	Старый пароль
Ажәамаӡа ииашамкәа иарбоуп	Неверно указан пароль
Ажәамаӡа иманшәаланы иԥсахуп.	Вы успешно сменили пароль.
Ажәамаӡа имыцхәны икьаҿуп	Слишком короткий пароль
Ажәамаӡа ишәхашҭыма мамзаргьы шәзымҭалаӡои?	Забыли пароль или не можете войти?
Ажәамаӡақәа еиқәшәаӡом	Пароли не совпадают
Ажәамаӡақәа еиқәшәаӡом.	Пароли не совпадают.
Ажәамаӡақәа еиқәшәоит	Пароли совпадают
Ажәамаӡа қәҿиарала еиқәырхоуп.	Пароль успешно изменён.
Ажәамаӡа қәҿиарала иԥсахуп.	Пароль успешно изменён.
Ажәамаӡа	Пароль
Ажәамаӡа:	Пароль
Ажәамаӡа:	Пароль:
Ажәамаӡа ԥсахӡам, избан акәзар иҿыцны иҭажәгалаз ажәамаӡа ф-символк иреицуп, цифра мацарала ишьақәыргылоуп, мамзар иақәнагам асимвол амоуп.	Пароль не изменён, так как новый пароль короче шести символов, состоит только из цифр либо содержит недопустимые символы.
Ажәамаӡа ԥсахӡам, избан акәзар иҿыцны иҭажәгалаз ажәамаӡа ф-символк иреицуп, цифра мацарала ишьақәыргылоуп, мамзар иақәнагам асимвол амоуп.	Пароль не изменён, так как новый пароль короче шести символов, состоит только из цифр, либо содержит недопустимые символы.
Ажәамаӡа ԥсахра	Изменение пароля
Ажәамаӡа ԥсахра	Смена пароля
Ажәамаӡа ԥсахуп	Пароль изменён
Ажәамаӡа ԥҵара	Создать пароль
Ажәамаӡа цәгьа хәыцра	Выберу Иванов Иван Иванович. Анонимность превыше всего!
Ажәамаӡа ҿыц	Новый пароль
Ажәамаӡа ҿыц:	Новый пароль:
Ажәамаӡа шәхашҭыма	Забыли пароль
Ажәамаӡа шәхашҭыма?	Забыли пароль?
Ажәамӡа аиҭашьақәыргылара	Восстановление пароля
Ажәар	Глоссарий
Ажәар	Словарь
Ажәа	Слово
Ажәаҭара аиқәырхара иамуит, ԥыҭрак ашьҭахь игәашәҭа.	Не удалось сохранить обещание, попробуйте позже.
Ажәаҭарақәа	Обещания
Ажәаҭара	Пообещать
Ажәеилакка:	Комментарий:
Ажәеиларкка: {comment}	Комментарий: {comment}
Ажәеиларкка: {msg}	Комментарий: {msg}
Ажәеиларкка {user} и(лы)ҭӡамцаҿы	Комментарий на стене {user}
Ажәеиларкка адәықәҵара	Отправка комментария
Ажәеиларкка азгәаҭоуп аспамеиԥш.	Комментарий отмечен как спам.
Ажәеиларкка азгәаҭоуп аспам еиԥш нас ианыхуп.	Комментарий отмечен как спам и удалён.
Ажәеиларкка азгәаҭоуп аспам еиԥш нас ианыхуп.	Комментарий помечен как спам и удалён.
Ажәеиларкка азнагара	Поделиться комментарием
Ажәеиларкка азышьҭра	Отправка комментария
Ажәеиларкка азышьҭуп	Комментарий отправлен
Ажәеиларкка анҵамҭахь {post}	Комментарий к записи {post}
ажәеиларкка анҵамҭахь	комментарий к записи
Ажәеиларкка анҵамҭахь	Комментарий к записи
Ажәеиларкка аныхра	Удаление комментария
Ажәеиларкка аныхра	Удалить комментарий
Ажәеиларкка аныхуп	Комментарий удалён.
Ажәеиларкка аныхуп.	Комментарий удалён.
Ажәеиларкка аспам еиԥш иазгәаҭоуп.	Комментарий отмечен как спам.
Ажәеиларкка аҭара	Комментировать
Ажәеиларкка аҭара..	Комментировать...
Ажәеиларкка аҭара...	Комментировать...
[Ажәеиларкка аҭӡамц аҟнытә]	[Комментарий со стены]
Ажәеиларкка аҭӡамц аҟнытә	Комментарий со стены
Ажәеиларкка аҭӡамц аҿы	Комментарий на стене
Ажәеиларкка аҭӡамцаҿы	Комментарий на стене
Ажәеиларкка ахә ршьеит{user}	Оценили комментарий {user}
Ажәеиларкка аҳәааҭагалара	Экспорт комментария
Ажәеиларкка ацҵара	Добавить комментарий
ажәеиларкка еиқәырхоуп	комментарий сохранён
Ажәеиларкка еиқәырхоуп	Комментарий сохранён
Ажәеиларкка еиҭашьақәыргылара	Восстановить комментарий
Ажәеиларкка еиҭашьақәыргылоуп	Комментарий восстановлен
Ажәеиларкка зышьҭра	Отправить комментарий
Ажәеиларкка ианыхуп. {link}Аиҭашьақәыргылара{/link}	Комментарий удалён. {link}Восстановить{/link}
ажәеиларккак/ажәеиларккак/ажәеиларккак	комментарий/комментария/комментариев
Ажәеиларккак	Комментариев
Ажәеиларкка	Комментарии
ажәеиларкка	комментарий
Ажәеиларкка	Комментарий
Ажәеиларкка	Комментарий:
Ажәеиларкка:	Комментарий:
Ажәеиларкка	комментарию
Ажәеиларккақәа анҵамҭақәа рахь	Комментарии к записям
Ажәеиларккақәа арыхәаԥшра	Обзор комментариев
Ажәеиларккақәа аҭӡамц аҿы	Комментарии на стене
Ажәеиларккақәа аҭӡамцаҿы	Комментарии на стене
Ажәеиларккақәа аҭитәқәа рахь {owner}	Комментарии к товарам {owner}
Ажәеиларккақәа аҵәахра	Скрыть комментарии
Ажәеиларккақәа аҿакқәоуп	Комментарии включены
Ажәеиларккақәа аҿыхуп	Комментарии отключены
ажәеиларккақәа зегьы	все комментарии
Ажәеиларккақәа зегьы	Все комментарии
Ажәеиларккақәа зегьы раарԥшра	Показать все комментарии
