Абираҟ ҳаргылап	Установить флажок
Адыргақәасса	Маленькие значки
Апонел ацаҳҵап	Добавить панель
Аиҭакрақәа ҳархынҳәып	Отменить изменения
Амыруыгақәа панел ҿыц	Новая панель инструментов
Амыруыгақәа  панел ахьӡ ҭажәгал:	Введите имя панели инструментов:
Амыруыгақәа понел «%S» ахьӡ змо ыҟоп. Ҽа хьӡык ҭажәгал.	Панель инструментов с именем «%S» уже существует. Введите другое имя.
Амыруыгақәа панел аԥҵаразы ахьӡ ҿыц ҭажәгал.	Чтобы создать новую панель инструментов вы должны ввести для неё имя.
Аийъшага	Разделитель
Зҽызыԥсахәа аура аинтервал	Интервал изменяемой длины
Аинтервал	Интервал
Акәамаҵамақәа	Подробности
Аилыркаага	Справка
Ицрыԥшьу адыррақәа	Дополнительные сведения
Агәцаракра: Асценари аҭак ҟанаҵом	Внимание: Сценарий не отвечает
Иҟалар ҟалап  ари адаҟьаҿы инанагӡо асценари аҭак ҟанаҵом ма елахоп. Иара уажәы аанкылар шәылшоит ма иацҵаны шәахәыԥш аус ахыркәшара алшома.	Сценарий, исполняемый на этой странице, возможно занят или не отвечает. Вы можете остановить его сейчас или продолжить и посмотреть сможет ли он завершить свою работу.
Иҟалар ҟалап  ари адаҟьаҿы инанагӡо асценари аҭак ҟанаҵом ма елахоп. Иара уажәы аанышәкылар шәылшоит, 	Сценарий исполняемый на этой странице возможно занят или не отвечает. Вы можете остановить его сейчас, открыть сценарий в отладчике или позволить сценарию продолжить свою работу.
Асценари: %S	Сценарий: %S
Асценари аанкылара	Остановить сценарий
Асценари арҽеира	Отладка сценария
Асценари аԥенџьер аркра алшом, ҽасценариак ала иаарту.	Сценарии не могут закрывать окна, открытые другими сценариями.
Ари адаҟьантә шәцарц шышәҭахәы агәыраганы шәыҟома?	Вы уверены, что хотите уйти с этой страницы?
Истандартным document.all аҟазшьа архәан. Иара аҭыԥан document.getElementById() W3C иҳаднагало.	Было использовано нестандартное свойство document.all. Вместо него следует использовать свойство document.getElementById() рекомендованное W3C.
Аметод captureEvents() уаҳа адгылара амам. Иара аԥсахразы, аметод addEventListener()  DOM 2 аҟынтә шәыхы ашәырхәы. Иаҳа еиԥкаау аинформациа http://developer.mozilla.org/en/docs/DOM:element.addEventListener ара ишьҭоуп.	Метод captureEvents() больше не поддерживается. Для его замены используйте метод addEventListener() из DOM 2. Более подробная информация доступна на http://developer.mozilla.org/en/docs/DOM:element.addEventListener
Аметод releaseEvents() уаҳа адгылара амам. Иара аԥсахразы аметод removeEventListener()  DOM 2 аҟынтә шәыхы ашәырхәы. Иаҳа еиԥкаау аинформациа http://developer.mozilla.org/en/docs/DOM:element.removeEventListener ара ишьҭоуп.	Метод releaseEvents() больше не поддерживается. Для его замены используйте метод removeEventListener() из DOM 2. Более подробная информация доступна на http://developer.mozilla.org/en/docs/DOM:element.removeEventListener
Аметод routeEvent() уаҳа адгылара амам. Иара аԥсахразы, аметод dispatchEvent()  DOM 2 аҟынтә шәыхы ашәырхәы. Иаҳа еиԥкаау аинформациа http://developer.mozilla.org/en/docs/DOM:element.dispatchEvent ара ишьҭоуп.	Метод routeEvent() больше не поддерживается. Для его замены используйте метод dispatchEvent() из DOM 2. Более подробная информация доступна на http://developer.mozilla.org/en/docs/DOM:element.dispatchEvent
Event=%S, preventBubble() ахархәара уаҳа адгылом. Уи аҭыԥан stopPropagation() ашәырхәала, W3C иҳаднагало.	Event=%S, использование preventBubble() больше не поддерживается. Вместо него следует использовать stopPropagation() рекомендованный W3C.
Event=%S, preventCapture() ахархәара уаҳа адгылом. Уи аҭыԥан stopPropagation() ашәырхәала, W3C иҳаднагало.	Event=%S, использование preventCapture() больше не поддерживается. Вместо него следует использовать stopPropagation() рекомендованный W3C.
getBoxObjectFor() архәара ҳазыразӡам. Алшара ыҟазар element.getBoundingClientRect() шәхы ашәырхәы.	Использование getBoxObjectFor() не рекомендуется. Если возможно, попробуйте использовать element.getBoundingClientRect().
canvas: strokeStyle ма fillStyle ицәаҳәам аҵакахьы ақәыргылара аҽазшәара мамзаргьы CanvasGradient ма CanvasPattern иатәанабеит.  	canvas: попытка установить strokeStyle или fillStyle в значение не являющееся строкой, либо CanvasGradient или CanvasPattern были проигнорированы.
Иҭацәу адаҟьа, getElementById() аметод азы аргуметӡам.	Пустая строка не может быть аргументом метода getElementById().
Аплагинаҿ иақәынагам операциа	Недопустимая операция в плагине
Аплагин иақәынагам операциа ҟанаҵеит. 	Плагин выполнил недопустимую операцию. Настоятельно рекомендуется перезапустить %S.
Ҳазҭагыло асиансаҿ ари адырраҭа уаҳа ааҳмырԥшлап.	Больше не показывать данное сообщение во время текущего сеанса.
Аԥшаара…	Поиск…
Ишьахәуп	Отменено
#1 из #3 #5	#1 из #3 #4
#1 #2 из #3 #5	#1 #2 из #3 #4
Осталось #2	Осталось #1
#1 — #3	#1 — #2
ресурс #2	ресурс #1
Иацы	Вчера
Уашьҭан азҵаара аҭахӡам	Не спрашивать в следующий раз
Аҭаӡ:	Папка:
Алхра…	Выбрать…
Агхақәа	Ошибки
Ахартәаара	Дополнения
Аинтернет аҿы аԥшаара	Поиск дополнений
Ахкырбагақәа	Расширения
Атемақәа	Темы
Аҭыԥыркрақәа	Локализации
Аплагинқәа	Плагины
Иаԥыхтәуп	Удалить
Азыԥшра…	Ожидание…
Аҿыхра 	Отключить
Мап	Нет
Ахкырбагақәа (*.xpi)	Расширения (*.xpi)
Ахьыӡ	Имя
Ашәагаа	Размер
Аҵыхәтантәи аиҭакрақәа:	Последнее изменение
Ари акоталог ахәыԥшраз иахәҭо азин шәымам.	У вас нет необходимых прав для просмотра этого каталога.
Ҩаӡарак 	Перейти на уровень выше
Аҩныҟатәи адаҟьахь ҳаиасып	Перейти на домашнюю страницу
Акаталог ҿыц ԥаҳҵап	Создать новый каталог
Афаилқәа зегьы	Все файлы
HTML	HTML-файлы
Атекстә фаил	Текстовые файлы
XML-афаилқәа	XML-файлы
XUL	XUL-файлы
Акаталог ахьӡ	Имя каталога:
Аиқәырхара	Сохранить
Ишԥаеиқәырхатәу:	Сохранить как:
«%S» афаил ыҟаӡам	Файл «%S» не существует
Афалахь «%S» аазнеираан агха	Ошибка доступа к «%S»
Акаталог «%S» ыҟаӡам	Каталог «%S» не существует
Афаил «%S» аԥхьараан агха	Ошибка чтения файла «%S»
Аиқәырхааран агха«%S»	Ошибка сохранения «%S»
«%S» ыаилуп, «%S» аиқәырхара залымшахеит.	«%S» является файлом, не удалось сохранить «%S»
«%S» амҩа ыҟаӡам, «%S» ақәрхара залымшеит	Путь «%S» не существует, не удалось сохранить «%S»
Афаил «%S» аҭаҩразы аркәып	Файл «%S» недоступен для записи.
Афаил аԥҵараантәи агха. Акаталог «%S» аҭаҩра зыҳәан аркуп.	Ошибка создания файла. Каталог «%S» недоступен для записи.
«%S» аԥҵараан агха	Ошибка создания «%S»
Акаталог аԥҵараан агха, афаил «%S» ахьӡ зхәы ыҟоп.	Ошибка создания каталога, файл с именем «%S» уже существует.
Акаталог «%S» аԥцараан агха	Ошибка создания каталога «%S»
Акаталог аԥҵараан агха, «%S» фаилуп	Ошибка создания каталога, «%S» является файлом
Акоталог аԥҵараан агха, «%S» аҭаҩра залымшеит	Ошибка создания каталога, запись в «%S» не удалась
Акоталог аԥҵара	Создание каталога
Елкаам агха	Неизвестная ошибка
Еилкаам агха ҟалеит(амҩа:«%S»)	Произошла неизвестная ошибка (путь: «%S»)
Аԥшааратә панел аркра	Закрыть панель поиска
Афраза ԥшаам	Фраза не найдена
Адаҟьа аладара наӡоуп, аҩадантә иацҵоуп	Достигнут низ страницы, продолжено сверху
Адаҟьа аҩаӡарахь наӡоуп, аладантәи иацуп	Достигнут верх страницы, продолжено снизу
Аԥшаара:	Найти:
Лассытәи аԥшаара:	Быстрый поиск:
Лассытәи аԥшаара(азхьарԥш мацара):	Быстрый поиск (только ссылки):
%S аиқәшәара	%S совпадение
Аиқәшәарақәа:%S	Совпадений: %S
Аиқәшәарақәа %S иреҳауп	Более %S совпадений
Ари адаҟьаҿ аԥшаара	Найти на этой странице
Ахырхарҭа	Направление
Иалышәкааз атекст ԥшааӡам	Введённый вами текст не найден.
Аԥшаара	Найти
Ашрифтқәа	Шрифты
Иапонтәи	Японский
Кореитәи	Корейский
Акириллицатә	Кириллица
Гречетәи	Греческий
Аҭырқәатә	Турецкий
Таитәи	Тайский
Тамильтәи	Тамильский
Аерматә	Армянский
Бенгальтәи	Бенгальский
Ақырҭуатә	Грузинский
Кхмертәи	Кхмерский
Орииа	Ория
Сингалтәи	Сингальский
Акодркра	Кодировка
Еилкаам агха ҟалеит (%1$S)	Произошла неизвестная ошибка (%1$S)
Аҷыдаҟазшьақәа	Свойства
Хазы иҟоу аобласт	Отдельные области
Иалкаау _аобласть	Выделенную _область
_Аобласть цыԥхьаӡа хаз-хазыла	_Каждую область по отдельности
Амасштабҟаҵара хьаас имкыкәа адаҟьа аҭбаарала аиҵырӷәара	Игнорировать масштабирование и с_жать по ширине страницы
Иалкаау _аобласть мацара	Только _выделенную область
Аҵҟьа	Фон
Аҵаԥшхәтәы апринтер _аҿыгара	Печатать цвет _фона
Аҵасахьа апринтер _аҿыгара	Печатать фоновое _изображение
Аколантитулқәа	Колонтитулы
Арымарахьтә	Слева
Агәҭала	По центру
Аилкаага	Справа
--иҭацәуп--	--пусто--
Адаҟьа ахы	Заголовок страницы
Адаҟьа адрес	Адрес страницы
Арыцхәи аамҭеи	Дата и время
Адаҟьа анумер	Номер страницы
Адаҟьа # аҟынтә #	Страница # из #
Ашьақәыргылара...	Настроить…
Аколантитул азы шәтекст ҭажәгал	Введите собственный текст колонтитула
Ахкы	Тип
Иахьа	Сегодня
%S мш. Раԥхьа	%S дн. назад
(аиқәҳәаларҭа ыҟам)	(нет узла)
Аԥыхра	Сброс
Адҵаалара анашьҭра	Отправить запрос
Аххәаа	Обзор…
Афаил аҭагалара	Загрузка файла
Ари адокумент аԥшаатә ҳаднагалоит. Ихадоу ажәақәа ҭажәгал:	Этот документ предоставляет поиск. Введите ключевые слова:
Аформа «enctype=%S» атрибут амокп, амала «method=post» атрибут амаӡам. Уи аҭыԥан адыррақәа рынашьҭраз аметод «GET» архәахоит, иамоу атип амырбакәа.  	Форма содержит атрибут «enctype=%S», но не содержит атрибут «method=post». Вместо этого для отправки данных будет использоваться метод «GET» без указания типа содержимого.
Афаил аҭагаларазы аформа азин ҳанаҭоит, амала «method=POST» нас «enctype=multipart/form-data» атрибутқәа арбаӡам. Афаил анашьҭра залшом.	Форма разрешает загрузку файла, но не указаны атрибуты «method=POST» и «enctype=multipart/form-data». Файл не будет отправлен.
Аформа %S аҟынтә анашьҭра	Отправка формы из %S
ISO-8859-1, ISO-8859-15, IBM850, x-mac-roman, windows-1252, ISO-8859-14, ISO-8859-7, x-mac-greek, windows-1253, x-mac-icelandic, ISO-8859-10, ISO-8859-4	ISO-8859-1, ISO-8859-15, IBM850, x-mac-roman, windows-1252, ISO-8859-14, ISO-8859-7, x-mac-greek, windows-1253, x-mac-icelandic, ISO-8859-10, ISO-8859-3
Хыхь	Вверх
Алада	Вниз
Армарахь	Влево
Арӷьарахь	Вправо
Аԥсшәатә	Абхазский
Авестиитәи	Авестийский
Амхартәи	Амхарский
Арагонтәи	Арагонский
Арабтәи	Арабский
Ассамтәи	Ассамский
Астурийтәи	Астурийский
Авартәи	Аварский
Аимара	Аймара
Азербаџьантәи	Азербайджанский
Башкиртәи	Башкирский
Белорустәи	Белорусский
Болгартәи	Болгарский
Бихартәи	Бихарский
Бамбартәи	Бамбарский
Тибеттәи	Тибетский
Бретонтәи	Бретонский
Босниитәи	Боснийский
Каталантәи	Каталанский
Чечентәи	Чеченский
Корсикантәи	Корсиканский
Чештәи	Чешский
Ауахәамаславиантәи	Церковнославянский
Чуваштәи	Чувашский
Валлиитәи	Валлийский
Даттәи	Датский
Анемецтәи	Немецкий
Дзонг-ке	Дзонг-кэ
Еве	Эве
Англызтәи	Английский
Испантәи	Испанский
Естонтәи	Эстонский
Еускара	Эускара
Персидтәи	Персидский
Финтәи	Финский
Фарертәи	Фарерский
Французтәи	Французский
Фриультәи	Фриульский
Фризтәи	Фризский
Ирландтәи	Ирландский
Шотландтәи гелтәи	Шотландский гэльский
Галисиитәи	Галисийский
Менсктәи	Мэнский
Хорваттәи	Хорватский
Лужицтәи хыхьтәи	Верхний лужицкий
Гаитиантәи	Гаитянский
Венгертәи	Венгерский
Индонезиитәи	Индонезийский
Сычуан-Ии	Сычуань-Йи
Исландтәи	Исландский
Италиатә	Итальянский
Иавантәи	Яванский
Кикуииу	Кикуйю
Киниама	Киньяма
Казахтәи	Казахский
Гренландтәи	Гренландский
Курдтәи	Курдский
Корнстәи	Корнский
Киргизтәи	Киргизский
Латинтәи	Латинский
Люксембургтәи	Люксембургский
Лимбургтәи	Лимбургский
Лаостәи	Лаосский
Литовтәи	Литовский
Латыштәи	Латышский
Малагасиитәи	Малагасийский
Маршальтәи	Маршальский
Македонтәи	Македонский
Малаиалам	Малаялам
Монголтәи	Монгольский
Молдавтәи	Молдавский
Малаитәи	Малайский
Мальтиитәи	Мальтийский
Бирмантәи	Бирманский
Норвежтәи Букмол	Норвежский Букмол
Ндебеле, Аҩадатә	Ндебеле, Северный
Непалтәи	Непальский
Голландтәи	Голландский
Норвежтәи Ниунорск	Норвежский Нюнорск
Норвежтәи	Норвежский
Ндебеле, Аладатә	Ндебеле, Южный
Сото, Аҩадатә	Сото, Северный
Окситантәи	Окситанский
Осетинтәи	Осетинский
Польтәи	Польский
Португальтәи	Португальский
Реторомантәи	Ретороманский
Румынтәи	Румынский
Аурыстә	Русский
Сардинтәи	Сардинский
Аҩадатә Сами	Северный Сами
Словацтәи	Словацкий
Словентәи	Словенский
Самоантәи	Самоанский
Албантәи	Албанский
Сербтәи	Сербский
Сото, Аладатә	Сото, Южный
Сундантәи	Сунданский
Шведтәи	Шведский
Таджиктәи	Таджикский
Тигриниа	Тигринья
Туркментәи	Туркменский
Тагальтәи	Тагальский
Клингонтәи	Клингонский
Татартәи	Татарский
Таитиантәи	Таитянский
Уигуртәи	Уйгурский
Украинтәи	Украинский
Узбектәи	Узбекский
Вьетнамтәи	Вьетнамский
Волапиук	Волапюк
Валлонтәи	Валлонский
Лужицтәи	Лужицкий
Иоруба	Йоруба
Чжуан	Чжуань
Китаитәи	Китайский
Адәықәҵара	Запуск
Аҩныҟатә даҟьа арбатәуп	Показать домашнюю страницу
Иҭацәу адаҟьа арбатәуп	Показать пустую страницу
Аԥаса иаартыз аԥенџьырқәеи агәылаҵақәеи арбатәуп	Показать окна и вкладки, открытые в прошлый раз
Уажәтәи адакьақәа хархәатәуп	Использовать текущие страницы
Шәхарҭәаарақәа рхышәарақәа шәыԥсах	Измените параметры ваших дополнений
%S (сахьаҭыхымҭа «%S», %Sx%Sпиксел амоуп)	%S (изображение «%S», %Sx%S пикселов)
%S (асахьаҭыхымҭа «%S»)	%S (изображение «%S»)
(Асахьаҭыхымҭа «%S», %Sx%Sпиксел амоуп)	(Изображение «%S», %Sx%S пикселов)
(Асахьаҭыхымҭа «%S»)	(Изображение «%S»)
%S (аобект «%S»)	%S (объект «%S»)
(Аобект «%S»)	(Объект «%S»)
Асахьаҭыхымҭа «%S», агхақәуа хьамо,  аарԥшра ауӡом.	Изображение «%S» не может быть показано, так как содержит ошибки.
Амасштабҟаҵара (%S%%)	Масштабированное (%S%%)
Атип:	Тип:
Ахҳәааҟаҵара:	Описание:
Асахьа:	Информация:
Аизыҟазаашьа:	Отношение:
Ахы:	Заголовок:
Аимпорт аҟаза	Мастер импорта
Азырхиарақәа аимпоррт рзутәуп, агәылаҵақәа, ажурнал, ажәамаӡақәеи егьырҭь адаррақәеи рыҟнытә:	Импортировать настройки, закладки, журнал, пароли и другие данные из:
Агәылаҵақәа аимпорт рзутәуп ...нтә:	Импортировать закладки из:
Агәылаҵа змоу прграммак, ажурнал ма ажәамаӡақәа, ԥшааӡам.	Ни одной программы, содержащей закладки, журнал или пароли, не найдено.
Адыррақәеи архиарақәеи римпорт	Импорт настроек и данных
Аимпорт азы аобиект	Объекты для импорта
Аимпортзуразы аобиектқәа алашәх:	Выберите объекты для импортирования:
Агәылаҵақәа	Закладки
Афаил:	Файл:
Азеиԥш рдырра 	Общее уведомление
Аиқәырхара	Сохранение
Аиқәрхара аҟынтә:	Сохранение из:
аҟны	В:
Аартра аҟынтә:	Открытие из:
Аиқәырхара #1	Сохранение #1
Аҭагылазаашьа:	Состояние:
Иқәыныху аамҭа:	Затраченное время:
Аҭагалара анагӡара анеиҩсана аԥенџьер аҳмырклап.	Не закрывать окно после завершения загрузки.
Аҭаӡ аартра	Открыть папку
Аиқәырхара «%S»	Сохранение «%S»
«%S» аартра	Открытие «%S»
Ари азҵаара уаҳа аҳамҭалап.	Больше не задавать этот вопрос.
Афаил «%S» аартра ауӡом, избанзар иадҳәало ацхырааратә ацраԥшьы ыҟадӡам. Ашьақәыргыларақәа шәыԥсах.	Файл «%S» не может быть открыт, так как связанное с ним вспомогательное приложение не существует. Измените настройки.
Аҭагалара «%S»	Загрузка «%S»
Алхратә фаил	Выбор файла
Ихадоу	Основная
Авизуализациа ахкы:	Тип визуализации:
Ашәагаа:	Размер:
Аҵыхәтантәи аиҭакрақәа::	Последнее изменение:
Акодркра:	Кодировка:
Амультимедиа	Мультимедиа
Ашәагаақәа:	Размеры:
Ишԥа еқәырхатәу…	Сохранить как…
Амультимедиа азаахәаԥшра:	Предпросмотр мультимедиа:
Азин ҟаҵара	Разрешения
Ишыҟоу еиԥш	По умолчанию
...аза азинҟаҵара:	Разрешения для:
Асахьақәа рҭагалара	Загружать изображения
Ихәыҵыҵуа аԥенџьырқәа раартра	Открывать всплывающие окна
Cookies ашьақәыргыларақәа	Устанавливать Cookies
Ахкырбагақәа ма атемақәа шьақәыргылалатәуп	Устанавливать расширения или темы
Ари адаҟьа ахьчаразы аинформациа	Информация о защите этой страницы
Авеб-саит ахаҭара	Подлинность веб-сайта
Аԥшәма:	Владелец:
Ишьақәырӷәӷәоуп:	Подтверждено:
Ахатәреи Аҭоурыхи	Приватность и История
Ари авеб-саит ахь уаанӡа унеихьазма?	Посещал ли я этот веб-сайт ранее?
Ари асаит аинформациа (cookies) сара скомпиутер аҟны иҵәахтәума?	Хранит ли этот сайт информацию (cookies) на моём компьютере?
Cookies иахәаԥштәуп	Просмотреть Cookies
Ари авеб-саит азы иарбанзаалак ажәамаӡа сҵәахуазма?	Сохранял ли я для этого веб-сайта какие-либо пароли?
Иеиқәырхоу ажәамаӡақәа ирыхәаԥштәуп	Просмотреть сохранённые пароли
Атехникатә хәҭақәа	Технические детали
аҭагалара иаҿуп…	Изображение
Афонтә ҭыхымҭа	Фоновое изображение
Адыргаҷа	Значок
Аилахәра арежим	Режим совместимости
Астандартқәа ирықәшәо арежим	Режим соответствия стандартам
Ари авеб-саит ахаҭара иазкны аинформациа ыҟам	Информация о подлинности этого веб-сайта отсутствует.
Ахархәаҩ ихьӡ	Имя пользователя
Амаӡажәа.	Пароль
Аиҭакра	Изменить
Иқәҳарҟьап	Сбросить
Авеб-саит ахаҭара шьақәырӷәӷәоуп	Подлинность веб-сайта подтверждена
Аидҵара еилырганы ишифркым	Соединение не зашифровано
Шәара шәызхәаԥшуаз адаҟьазы Асаит %S аԥхьаразы иацхраауам.	Сайт %S не поддерживает шифрование для просматриваемой вами страницы.
Шифрда интернет ала идәықәҵоу адырра даҽа џьоукы ирымпаҵашәар ҟалоит анашьҭраан.	Информация, отправленная по Интернету без шифрования, может быть доступна другим во время передачи.
Амодул	Модуль
Амҩа	Путь
Ахҳәааҟаҵара	Описание
Ахьӡынҵа	Список
Иҭаӡахым агәлаҵақәа	Неподшитые закладки
Ахҵарақәа	Метки
Аплагинқәа рзы(plugins)	О плагинах (plugins)
Иқәыгыло аплагинқәа	Установленные плагины
Аплагниқәа ықәыгылам	Плагины не установлены
Афаил ахьӡ:	Имя файла:
MIME атип	Тип MIME
Асуфикскқәа	Суффиксы
Иаҿакәып	Включён
SSL прокси:	SSL
Аҟазшьақәа	Свойства…
Апринтер 	Описание принтера:
Апринтер	Принтер
Апринтер:	Принтер:
Апринтер ҿыгара адиапазон	Диапазон печати
Адаҟьақәа зегьы	Все страницы
Адаҟьақәа	Страницы
аҟынза	по
Иалкаау афрогмент	Выделенный фрагмент
Ақәҭыхқәа	Копии
Акопиақәа рхыԥхьаҿзара:	Число копий:
Афреимқәа апринтер аҿыгара	Печать фреймов
Аекранаҿ иаарԥшу	Отображаемых на экране
Иалкаау афреим	Выделенного фрейма
Афреимқәа зегьы хаз-хазы	Всех фреймов по отдельности
Аекранаҿ иаарԥшу	&Отображаемых на экране
Иалкаау афреим	Выделенного &фрейма
Афреимқәа зегьы хаз-хазы	&Всех фреймов по отдельности
Адаҟ. %1$d , %2$d аҟынтә	Стр. %1$d из %2$d
Афаил ахьӡ ыҟаӡам	Отсутствует имя файла
Шәара алышәхит «Печать: в файл», афаил ахьӡ амҭакәа!	Вы выбрали «Печать: в файл», но не задали имя файла!
Апринтер агха	Ошибка принтера
Аԥхьа алаԥшхгараан агха.	Ошибка предварительного просмотра
Апринтер аҿыгара аан апроблема цәырҵит. Апринтер, апринтера аҿыгара адҵа аднакылом.	Во время печати возникла проблема. Принтер не поддерживает команду печати.
Апринтер аҿыгара аан апроблема цәырҵит. Апринтерахь инашьҭыз аинструкциа нагӡам.	Во время печати возникла проблема. Инструкция, отправленная принтеру, не выполнена.
Апринтер аҿыгара аан апроблема цәырҵит. Принтеркгьи ԥшаам	Во время печати возникла проблема. Ни один принтер не найден.
Апринтер аҿыгараан апроблема цәырҵит. Апринтер ԥшаам.	Во время печати возникла проблема. Принтер не найден.
Апринтер аҿыгара аан апроблема цәырҵит. Апринтерахь анеирҭа амам.	Во время печати возникла проблема. Доступ к принтеру запрещён.
Апринтер аҿыгара аан апроблема цәырҵит. Аҽазышәара ыҟан, иашам апринтер атрибут арбара. 	Во время печати возникла проблема. Попытка указать недействительный атрибут принтера.
Апринтер аҿыгара аан апроблема цәырҵит. Апринтер рхьаӡам.	Во время печати возникла проблема. Принтер не готов.
Апринтер аҿыгара аан апроблема цәырҵит. Апринтераҿы ақьаад нҵәеит. 	Во время печати возникла проблема. В принтере закончилась бумага.
Апринтер аҿыгараан апроблема цәырҵит. Апринтер аҭагалара-алгаратә система агха.	Во время печати возникла проблема. Ошибка системы ввода-вывода принтера.
Апринтер аҿыгара аан апроблема цәырҵит. Аҭыҵратә фаил аартра амам.	Во время печати возникла проблема. Выходной файл не может быть открыт.
Анҭыҵратәи афаил апринтер аҿыгараан ....	Во время записи выходного файла печати возникла ошибка.
Аԥхьа алаԥшхгара архәаразы принтерк ахь анерҭа ҳамазароп.	Для использования предварительного просмотра должен быть доступен хотя бы один принтер.
Апринтер аҿыгара аан ҳазқәымгәыӷуаз апроблема цәырҵит. 	Во время печати возникла неожиданная проблема.
Апринтер аҿыгара аан апроблема цәырҵит. Апринтер аҿыгараз агәнкылара азхом.	Во время печати возникла проблема. Недостаточно памяти для печати.
Икаректым апринтер аҿгараантәи афункциақәа макьана инагӡам.  	Некоторые функции печати ещё не реализованы.
Анеишьа амам	Недоступно
Апринтер аҿыгара еԥырҟоуп ма ырхынҳәуп.	Печать прервана или отменена.
Апринтер аҿыгара аан елкаам агха ҟалеит.	Во время печати произошла неизвестная ошибка.
Адокумент апринтер аҿыгараан аҵыхәтәан агха.	Ошибка печати в конце документа.
Апринтер аҿыгараан агха, адаҟьа анҵәамҭаз.	Ошибка печати в конце страницы.
Адокумент аԥхьатәи алаԥшхгараан апринтер аҿыгара шәылшаӡом.	Вы не можете печатать документ во время его предварительного просмотра.
Апринтер аҿыгара аан апроблема цәырҵит, избанзар 	Во время печати возникла проблема, потому что печать на бумаге указанного размера не поддерживается вашим принтером.
Апринтер аҿыгара аан апроблема цәырҵит, избанзар иарбоу оринтациа шәпринтер аднакылом.	Во время печати возникла проблема, потому что печать с указанной ориентацией не поддерживается вашим принтером.
Апринтер аҿыгара аан апроблема цәырҵит, ибанзар шәпринтер иақәынаго аԥшхәытәқәа аднакылом.	Во время печати возникла проблема, потому что ваш принтер не поддерживает печать необходимых цветов.
Апринтер аҿыгара аан апроблема цәырҵит, избанзар апринтер аҿгаразы ирацәаны акопиақәа адышәҵеит.	Во время печати возникла проблема, потому что вы запросили печать слишком большого числа копий.
Апринтер аҿгара еиԥҟьеит. Апринтер адраивер шышьақәыргыло ҽеим	Во время печати возникла проблема. Драйвер принтера установлен некорректно.
Апринтер аҿгаратә аиҿцәажәара ...........	Отсутствует служба вызова диалога печати.
Апринтер аҿыгара ма аԥхьатәи алаԥшхгара залшом.	Не удалось произвести печать или предварительный просмотр этой страницы.
Апринтер аҿыгара аан апроблема цәырҵит, иарбоу арежим шәпринтер аднакылом.	Во время печати возникла проблема, так как указанный режим не поддерживается вашим принтером.
Абраузер залшом адокумент аҭагалараан апринтер аҿыгара.	Браузер не может печатать документ во время его загрузки.
Апринтер ҿыгаратә функциақәа макьана инагӡам.	Функции печати ещё не реализованы.
Иқәынаго апринтер ҿыгаратә модул ҭагалашьа амам. 	Требуемый модуль печати не может быть загружен.
Апринтер аҿыгара аан апроблема цәырҵит, избанзар иарбоу азин/ахаҭабзиара шәпринтер аднакылом.	Во время печати возникла проблема, потому что указанные разрешение/качество печати не поддерживаются вашим принтером.
Ҳзызнеиуа апринтерқәа ыҟам.	Нет доступных принтеров.
Апринтепр ашьақәырглақәа	Настройки принтера
Акьаад ашәагаа:	Размер бумаги:
Арежим:	Режим:
Азин/Ахаҭарабзиара:	Разрешение/Качество:
Апринтер аҿгаразы адҵа:	Команда печати:
Адҵа ахьӡ:	Имя задания:
Аԥшхәтәы:	Цвет:
Аԥшхәтәы	Цвет
Аԥшхәтәқәа реиужьра:	Пространство цветов:
Ашрифтқәа:	Шрифты:
Апринтер ахь ашрифтқәа ҭаҳгалома?	Загрузить шрифты на принтер?
АДӘЫ аҭбаара	Ширина поля
Аҩадантә:	Сверху:
Аладантә:	Снизу:
Арымарахтә:	Слева:
Арыӷьарантә	Справа:
Адаҟьа архиарақәа	Параметры страницы
Аформати аҟазшьақәыеи	Формат и свойства
Аформат	Формат
Аҭыԥп:	Ориентация:
Ашәҟәытәы	Книжная
Албомтә	Альбомная
Амасштаб:	Масштаб:
Адаҟьа аҭбаара аҟынӡа аиҵарӷәара	Сжать до ширины страницы
Аҵаԥшыхәытәы апринтер аҿыгара (аԥшыхәытәқәеи асахьақәуеи)	Печать фона (цвета и изображения)
АДӘқәеи аколантитулқәеи	Поля и колонтитулы
дуимқәа	дюймов
милиметра	миллиметров
Агәыҭала:	По центру:
Аҩадатәи аколантитул (арымарахьынтә)	Верхний колонтитул (слева)
Аҩадатә аколантитул(агәыҭала)	Верхний колонтитул (по центру)
Аҩадатә аколантитул(арӷьарахьынтә)	Верхний колонтитул (справа)
ҵаҟатәи аколантитул(арымарахьти)	Нижний колонтитул (слева)
Аладатәи аколантитул (агәҭала)	Нижний колонтитул (по центру)
Аладатәи аколантитул (арӷьарахьынтә)	Нижний колонтитул (справа)
\--иҭацәуп--	--пусто--
Ашьақәыргыла...	Настройка…
аҟынтә	из
Аԥхьатәи адаҟьа	Первая страница
Аҵыхәытәантәи адаҟьа	Последняя страница
Анеиҩстәи адаҟьа	Следующая страница
Аԥхьа инеуа адаҟьа	Предыдущая страница
Аԥхьатәи алаԥшхгара	Предварительный просмотр
Аԥхьатәи алаԥшхгаразы архьиара	Подготовка к предварительному просмотру…
Апринтер аҿыгара хыркәшоуп.	Печать завершена.
Аҭаара ажурнал	Журнал посещений
ахархәара аҿҳәара нцәаанаӡа	до истечения срока их действия
