Аилазааратә гәыԥ архиагақәа	Настройки сообщества
Агәаларшәара ҿыц ажәеиларккақәа рҿы	Новое упоминание в комментариях
Аилакра аҭӡамцаҿы анҵамҭақәа ыҟаӡам	На стене сообщества нет записей
Иашәырба абдуцәеи андуцәеи рыхьӡқәа	введите имя дедушки или бабушки
Иашәырба аелектронтә ԥошьҭа аҭыӡҭыԥ	Укажите адрес электронной почты
Избарҭада анҵамҭақәа рыхцәажәарақәа	Кто видит комментарии к записям
Шәдаҟьа аанкылоуп зыгәрагам азхьарԥшқәа ахьаанашьҭуаз азыҳәан:	Аккаунт заблокирован за отправку подозрительной ссылки:
аацҳара сызҭарц алшара змоу	приглашать меня в беседы
Ажәеиларккақәа рхыԥхьаӡара:	Количество комментариев:
Арпатудара злоу ахымҩаԥгара	Оскорбительное поведение
Ахцәажәарақәа аилыҟәшәаара:	Сортировка комментариев:
Иҵегь ажәеиларккақәа арбара	Показать ещё комментарии
Агәыԥтә аиларгара ахьӡынҵа аҟнытә атема ныхуп.	Тема удалена из списка обсуждений группы.
Шәара шәзы еиҭашьақәыргылан шәаудионҵамҭақәа, ахарбгалаҩ ила иныхаз шәдаҟьа аҟнытә.	Вам были восстановлены аудиозаписи, удалённые с вашей страницы взломщиком.
Шәара шәзы еиҭашьақәыргылан шәвидеонҵамҭақәа, ахарбгалаҩ ила иныхаз шәдаҟьа аҟнытә.	Вам были восстановлены видеозаписи, удалённые с вашей страницы взломщиком.
Амаркетингтәи акциа ала ахыԥхьаӡарала	Начисление по маркетинговой акции
Адыррақәа рыԥсахрақәа рԥыхра	Отменить данные изменения
Азеиԥш аинформациахь анеирҭа	Доступ к общей информации
Аилазааратә гәыԥ иԥынгылоуп.	Сообщество заблокировано.
Аиҿцәажәарақәа рсиахь аиасра	Перейти к списку диалогов
Ахьӡанҵашҟа адаҟьа архынҳәра	Вернуть страницу в список
Аҩызцәа рыхьӡынҵахь аиасра »	Перейти к списку друзей »
Иашәырбеит ииашам адыррақәа.	вы ввели неверные данные.
Избарҭада сара сҩызцәеи снапаҵаҩҩцәеи рсиаҟынтә	Кого видно в списке моих друзей и подписок
Виргинтәи адгьылбжьахақәа, Британиатәи	Виргинские острова, Великобритания
Ақәырҷабқәа аԥҵара.	Создание наклеек.
Адаҟьа иманшәаланы еиқәырхоуп	Страница успешно сохранена
Ажәамаӡа иманшәаланы иԥсахуп.	Вы успешно сменили пароль.
Ажәеиларккақәа рахь аҽаҵаҩҩра	Подписаться на комментарии
Аилацәажәара аԥшранҵа арҿыцра	Обновить фотографию беседы
Амобилтә еимадареи аинтернети	Мобильная связь и интернет
Аплан аҿы иарбоу атранслиациа	Запланированная трансляция
Еицышәзеиԥшу аҩызцәа раарԥшра	Показать всех общих друзей
Азҵааранҵа адҳәалара ихадоу адаҟьа аҟны	Закрепить опрос на главной странице
Ақәыԥшыла аныхраан агха ҟалеит	Ошибка при удалении шаблона
Аԥшранҵақәа альбом ахь аиагара	Перенос фотографии в альбом
иашәырба аб мамзаргьы ан рыхьӡ	введите имя отца или матери
Иашәырба аилазааратә гәыԥ ахьӡ	Введите название сообщества
Иашәырба аҩыза ихьӡ.	Введите имя друга.
1.5 мааҭ. инарҭбааны	1.5 руб. подробнее
20 адирам инарҭбааны	20 дирам подробнее
Аиҭагара аҭоурыхи ахашәаҵашәақәеи рырбара	Показать историю и параметры перевода
Ахархәаҩы макьана абжьынҵамҭақәа изанӡым.	У пользователя пока нет аудиозаписей.
Ианышәҵа аилазааратә гәыԥ ахьӡ.	Введите название сообщества.
Ақәыԥшыла аныхраан агха ҟалеит.	Ошибка при удалении шаблона.
Ақьаадқәа рҭагалара акьыԥхьразы	Скачать все файлы для печати
Архиагақәа рҿы ажәамаӡа аԥсахра	Изменить пароль в настройках
Шәара шәеилазаараҿы макьана апатреҭ ыҟаӡам	В вашем сообществе пока нет фотографий
Абжьынҵамҭақәа рыҟәша	раздел Аудиозаписей
Абыжьқәа рхыԥхьаӡара:	Количество голосов:
Агəҽанҵарақәа ыҟаӡам.	Нет предупреждений.
Альбом аҟынтәи аныхра	Удалить из альбомов
Амаркетинги аӡыргареи	Маркетинг и реклама
Анацәеи асабицәеи рзы	Малышам и родителям
Аԥсахрақәа еиқәырхоуп	Изменения сохранены
Аԥсыбзырбагеи арадиои	Радио и телевидение
Аԥшранҵақәа аҭагалара	Загрузка фотографий
Аԥшранҵақәа ахсаалаҿы	Фотографии на карте
Аԥшранҵақәа рыхәаԥшра	Просмотр фотографии
Архиагақәа еиқәырхоуп	Настройки сохранены
Арҿыцра анаӡара амоуп	Доступно обновление
Асахьеи- авидеоҭыхреи	Фото- и видеосъёмка
Аҭыԥқәа, еиҵу абизнес	Места, малый бизнес
Аҳалалреи аԥсыцқьареи	Доброта и честность
Ацҳамҭақәа азин аҭара	Разрешить сообщения
Ашәарҭадареи иҭалареи	Безопасность и вход
Баша аӡәы бзиа данубо	Когда просто любишь
Еиԥшу авидеонҵамҭақәа	Похожие видеозаписи
Иаҿыхқәоу акьачакьқәа	Отключенные стикеры
Ишәыдгалоу анҵамҭақәа	Предложенные записи
Сандрик абга иақәтәоу	Оборотень Александр
Альбом ахь иҭажәгала аԥшранҵақәа	Загрузите фотографии в альбом
Аԥшранҵа иманшәаланы еиқәырхоуп.	Фотография успешно сохранена.
Ашәатәқәа рыхиагақәа еиқәырхоуп.	Настройки платежей сохранены.
Иаанкылоу ахәмаррақәа аҭӡамц аҿы	Заблокированные на стене игры
Шәара иашәырбар ақалақь шәахьынхо, шәҩызцәа	Друзьям будет проще найти и узнать вас,
Шәдаҟьа аанкылан абри аҩыза аԥшранҵа ахьаанашьҭуаз азы:	Аккаунт заблокирован за отправку таких фотографий:
Инарҭбааны ианышәҵа ара азнагашьа аԥсыхәқәа.	Подробно опишите здесь условия доставки.
Адырраҭарақәа рыхҩылаа аҿы арбара	Отображать в ленте уведомлений
Азгәаҭа аныхуп иреиӷьуқәа рҟнытә.	Заметка удалена из избранного.
Альбом аҟнытә авидеонҵамта аныхра	Удалить видеозапись из альбома
Иашәырбаз ажәамаӡақәа еиқәшәаӡом.	Введённые пароли не совпадают.
Абжьынҵамҭа азынашьҭра	Отправка аудиозаписи
Авидеонҵамҭақәа арбара	Показать видеозаписи
Ажәеиларкка адәықәҵара	Отправка комментария
Ажәеиларкка аҭӡамц аҿы	Комментарий на стене
ажәеиларкка еиқәырхоуп	комментарий сохранён
Ажәеиларкка еиқәырхоуп	Комментарий сохранён
Ажәеиларккақәа рырбара	Показать комментарии
Азгәаҭа шьақәырӷәӷәоуп	Отметка подтверждена
Аԥсахрақәа еиқәырхоуп.	Изменения сохранены.
Архиагақәа еиқәырхоуп.	Настройки сохранены.
Астиль, амаҭәа, ашьаҵа	Стиль, одежда, обувь
Атехника, аелектроника	Техника, электроника
Атуризмеи аныҟәарақәеи	Туризм и путешествия
Аҭҵаареи аҭҵаарадырреи	Наука и исследования
Аҩызцәа зегьы раарԥшра	Показать всех друзей
Иҟалаша аусмҩаԥгатәқәа	Грядущие мероприятия
Иҟоуп аҿыҵга ахынҳәраз	Есть повод вернуться
Иҵегь альбомқәа арбара	Показать ещё альбомы
Иҵегь аҳамҭақәа арбара	Показать ещё подарки
Мыцхәы ихьшәоуп арыцхә	Слишком поздняя дата
Шәара ишәзынашьҭоуп ацҳамҭа ашьақәырӷәӷәаратә код змоу, ахә ашәаразы ианышәҵа ишәоуз акод	Вам отправлено сообщение с кодом подтверждения, введите полученный код для оплаты
Ахәмарра азин аҭара шәыԥшранҵақәа рахь анеира	Разрешить игре доступ к вашим фотографиям
Агха ҟалеит ажәеиларкка аныхра аан	Ошибка при удалении комментария
Шәара шәзы еиҭашьақәыргылан шәыԥшранҵақәа, ахарбгалаҩ ила иныхаз шәдаҟьа аҟнытә.	Вам были восстановлены фотографии, удалённые с вашей страницы взломщиком.
Аорганизациақәа ахалхәра, ауаажәларратә ҭыԥқәа	Участие в организациях, общественные посты
Ааигатәи аусмҩаԥгатәқәа	Ближайшие мероприятия
Авидеонҵамҭа ахь аиасра	Перейти к видеозаписи
Аизгақәа зегьы раарԥшра	Показать все подборки
Аилазааратә гәыԥ иԥшаам	Сообщество не найдено
Аҟаҵарбақәа рахь аиасра	Перейти к результатам
Анаҩстәи ажәеиларккақәа	Следующие комментарии
Аԥшранҵақәа рахь аиасра	Перейти к фотографиям
Аҭахҳәага ҿыц аҩызарахь	Новая заявка в друзья
Аусмҩаԥгатәы ахь аиасра	Перейти к мероприятию
Ацҳамҭақәа зегьы рныхра	Удалить все сообщения
Аҵараиурҭатә аиндаҭлара	Университетский спорт
Аҩызцәа рҟынӡа азнагара	Поделиться с друзьями
Даҽа аусура ҭыԥк аҵцара	Добавить место работы
Екваториальнаиа Гвинеиа	Экваториальная Гвинея
Иалышәха акатегориаҟәша	Выберите подкатегорию
Иашәырба ахәмарра ахьыӡ	Введите название игры
Ииасхьоу аусмҩаԥгатәқәа	Прошедшие мероприятия
Иҵегьы аилакқәа аарԥшра	Показать больше групп
Шәҩызцәа ирзеиҭашәҳәеит	Вы рассказали друзьям
Ажәытә аномер ииашаӡамкәан иарбоуп.	Неправильно указан старый номер.
Шәдаҟьа аанкылоуп амодератор ила абри аҩыза аилыркаара азы:	Аккаунт заблокирован модератором с таким комментарием:
Лара уаҳа илылшаӡом ацҳамҭақәагьы шәахь аҩҩра, аҭахҳәагақәагьы ашьҭра аҩызцәа рахь ацҵаразы мамзаргьы шәдаҟьа ахәаԥшра.	Она больше не сможет писать вам личные сообщения, отправлять заявки в друзья или просматривать вашу страницу.
Ари азҵааранҵа уажәшьҭа иарбахоит ихадароу аилак адаҟьа ахь.	Этот опрос теперь выводится на главной страницы группы.
Адокументациа ахь аиасра	Перейти к документации
Аԥошьҭа шьақәырӷәӷәаӡам.	Почта не подтверждена.
Аԥшранҵақәа зегьы ралхра	Выбрать все фотографии
Арадиои аинтернет-радиои	Радио и Интернет-радио
Архиагақәа рахь ахынҳәра	Вернуться к настройкам
Аҭахҳәагақәа еиҳа арбара	Показать больше заявок
Ахьӡынҵеиҭаҳәага аԥсахра	Редактировать плейлист
Ацхрыраагӡақәа рнапхгаҩы	руководитель Поддержки
Ацҳамҭақәа зегьы рырбара	Показать все сообщения
Аҿахәҳәага ахәаԥшра цоит	Заявка рассматривается
Даҽа аккаунт ахь аҭалара	Войти в другой аккаунт
Иашәырба абжьылда аномер	Укажите номер телефона
Уахынлатәи арежим аҿыхра	Выключить ночной режим
Иаҳҳәап: Кьасоу Ҳагба, Хьыбла Мықәба.	Например: Анна Петрова, Ян Иванов.
Шәара шәзы еиҭашьақәыргылан шәҩызцәа, ахарбгалаҩ ила иныхаз шәдаҟьа аҟнытә.	Вам были восстановлены друзья, удалённые с вашей страницы взломщиком.
Аԥшьы анеирҭа амоуп шәықәҿыҭрақәа аҭакқәа рзы рахь	Приложению доступны ваши оповещения об ответах
Аагалыҵ насгьы ахәаахәҭра	Производство и торговля
Аблогаҿы анҵамҭа агәаҭара	Просмотр записи в блоге
Ажәа имыцхәны икьаҿцәоуп.	Слишком короткое слово.
Ажәамаӡа имыцхәны икьаҿуп	Слишком короткий пароль
Аиасра аҭоурых анҵәамҭахь	Перейти в конец истории
Аилкаанҵа аԥшаара амуӡеит	Не удалось найти статьи
Аиҿцәажәаҩ аҭак ҟаиҵаӡом.	Собеседник не отвечает.
Аԥшранҵақәа иҵегь рацҵара	Добавить ещё фотографии
Ацҳамҭа еиҭашьақәыргылоуп	Сообщение восстановлено
Ацыԥха аҭоурых аиқәырхара	Сохранить историю ключа
Шәаҵаҩҩуп ажәабжьқәа рахь	Вы подписаны на новости
Иҭажәгал азыҳәамҭа, аԥшаара алагаразы.	Введите запрос, чтобы начать поиск.
Аилазааратә гәыԥ ақьаадқәа аԥшьы анеирҭа азин аҭара	Разрешить приложению доступ к файлам сообщества
Ацҳамҭахь аҭак ҟарҵоит аилазааратә гәыԥ анапхгаҩцәа	На сообщения отвечают администраторы сообщества
Ишәыдаҳныҳәалоит! Анҵамҭа Шәара шәдаҟьаҟны иҟалоит.	Поздравляем! Запись появится на вашей странице.
Ажәаҭара аиқәырхара иамуит, ԥыҭрак ашьҭахь игәашәҭа.	Не удалось сохранить обещание, попробуйте позже.
Анҵамҭақәа иреиҳаӡоу ахыԥхьаӡара анҵоуп	Добавлено максимальное число записей
Шәцәаныррақәа аарԥшразы иманшәало амҩа:	Хороший способ выразить ваши эмоции:
Аԥҵаҩы инапынҵамҭа ырцәоуп	Подпись автора выключена
Арҿыцрақәа рҟнытә аҽаныхра	Отписаться от обновлений
Аҭахҳәага аҩызарахь аԥыхра	Отменить заявку в друзья
Ахьӡынҵа еиқәаҵәахь ацҵара	Добавить в чёрный список
Иарку агәыԥ аҟынтәи аҭыҵра	Выход из закрытой группы
Ҳшәыҳәоит, иашәырба арыцхә	Пожалуйста, введите дату
Дарбан сдаҟьа ззыԥшаауа иконтактқәа аниигалак ашьҭахь	Кто может найти мой профиль при импорте контактов
Ахәмарра азин аҭара Шәҩызцәа рахь анеира	Разрешить игре доступ к вашим друзьям
Шәара ишәылшом ари аилакратә аҿы иҟоу аҭӡамц ахәаԥшра.	Вы не можете просматривать стену этого сообщества.
Агәазыҳәарақәа сиахь ацҵара	Добавить в список желаний
Аинформациатә технологиақәа	Информационные технологии
Аиԥылараҟны алахәцәа ыҟаӡам	Во встрече нет участников
Аҭахҳәага ахарҭәаара аҭахуп	Заявка требует дополнения
Ахә зшьаз рыхьӡынца аарԥшра	Показать список оценивших
Иарбоуп иԥшаау аилкаанҵақәа	Показаны найденные статьи
Иҿыцу аԥшранҵақәа рҭагалара	Добавить новые фотографии
Шәдаҟьа ашәарҭара иҭагылоуп	Ваша страница в опасности
Зны-зынла Ацхыраара аиуразы еиҳа иманшәалоуп аҩыза идаҟьа ахархәара.	Иногда бывает удобнее обратиться в Поддержку со страницы друга.
Шәара шәҩызцәа рыхьӡынҵаҿы иҟоу ауааи шәареи аимадара алшара шәыбжьазар, шәдаҟьахь анеирҭа шьақәшәыргылар ҟалоит урҭ рыцхыраарала. Ишәҭахума иацышәҵарц?	Если у вас есть возможность связаться с людьми из вашего списка друзей, можно восстановить доступ к странице с их помощью. Хотите продолжить?
Абри адаҟьа иалкааны аԥшаара	Искать именно эту страницу
Ахатәы цҳамҭақәа рҿы аԥшаара	Искать в личных сообщениях
Ацҳамҭақәа рҭоурых арыцқьара	Очистить историю сообщений
Аҿыц аилазааратә гәыԥ аԥҵара	Создание нового сообщества
Еиуеиԥшым авариантқәа ралхра	Выбор нескольких вариантов
Ажәалагала уажәшьҭа игәаҭоуп.	Предложение уже обработано.
Аԥшранҵа адәахьтәи асаит аҟны	Фотография на внешнем сайте
Аҩызцәа рыхьӡынҵамҭа ариашара	Редактировать список друзей
ианышәҵа шәԥа ма шәыԥҳа рыхьӡ	введите имя сына или дочери
Раԥхьа азҿлымҳара змоу арбара	Показать сначала интересные
Шәара шәынҵамҭа аӡәгьы ибаӡом	Вашу запись никто не увидит
Анхараҿы арыцқьареи ацхыраареи	Уборка и помощь по хозяйству
Ари аилазааратә гәыԥ аанкылоуп	Это сообщество заблокировано
Ари альбом шәбоит Шәара заҵәык	Этот альбом виден только вам
Зегь шәыршанха: шәгәы ҳалалыз!	Удивите всех: будьте добрее!
Ишьақәырӷәӷәоу аҭахҳәага ԥыхра	Отмена подтвержденной заявки
Уиаԥхьатәи аҿаҵаҩҩрақәа арбара	Показать предыдущие подписки
Иазгәашәҭ азхьарԥш, арымарахьтәи амениу аҟны ижәбарц ишәҭаху:	Укажите ссылки, которые вы хотели бы видеть в меню слева:
Ахьӡмаӡа ишьҭуп аԥшьы ВКонтакте аҟны Шәыбжьылда ахь. Иҟалозар, шәхы иашәырхәа убри ахьӡмаӡа.	Код отправлен в приложение ВКонтакте на Ваш телефон. Пожалуйста, используйте этот код.
Абот изы архиагақәа еиқәырхоуп.	Настройки для бота сохранены.
Азин змада ари авидео ахәаԥшра?	Кто может смотреть это видео?
Аҭыӡҭыԥ иалшом 170 иреиҳаны асимволқәа амазаара	Адрес не может содержать больше 170 символов
Авидеонҵамҭа иарбоуп аспам еиԥш.	Видеозапись отмечена как спам.
Иҟалозар, иашәыркы ари аԥенџьыр.	Пожалуйста, закройте это окно.
Шәхы иашәырхә шәхатәы шәажәамаӡа	Используйте собственный пароль
Ахатәыхьӡ ма амаӡажәа иашаӡам. Даҽа знык игәашәҭ.	Логин или пароль неверный. Попробуйте ещё раз.
Шәдаҟьа аанкылоуп зхыԥхьаӡара рацәахаз ахҵарақәа «Исгәаԥхоит» азы.	Аккаунт заблокирован за большое количество отметок «Нравится».
Ажәабжьқәа рыхьӡынҵа ахьыӡ анышәҵа	Введите название списка новостей
Алаҳәара мап ацәкуп амодератор ила	Объявление отклонено модератором
Аԥшранҵақәа аилазааратә гәыԥ аҟынтә	Фотографии со страницы сообщества
Аҩызцәа рымш иирақәеи реиԥыларақәеи	Дни рождения друзей и мероприятия
Шәара иахьа ишәышьҭхьеит аҭахҳәага.	Вы уже отправляли заявку сегодня.
Ашәарҭадаратә кодуоуртәеиԥш аҟаҵара:	Способы получить код безопасности:
Шәхатә ҭӡамцахь анҵамҭа азнагатәума?	Поделиться записью на своей стене?
Шәдаҟьа ВКонтакте аанкылоуп. Алшара шәымоуп аацҳара ҳзаашәышьҭырц шәдаҟьа анаартхалак ашьҭахь.	Ваша страница ВКонтакте заблокирована. Вы сможете написать сообщение после разблокировки.
Ари анҵамҭа макьана аӡәгьы иазнеимгацт.	Этой записью пока никто не поделился.
Иазҿлымҳақәо аиԥыларақәа шәықалақь аҟны	Популярные мероприятия в вашем городе
Шәымш иира арыцхә қәҿиарала еиқәырхоуп.	Ваша дата рождения успешно сохранена.
Насгьы ишәгәалаҳаршәоит, шәара ишәылшоит амузыка азыӡырҩра:	А также напоминаем, что теперь вы можете слушать музыку:
Иҟалозар, абаг ажәакала изеиԥшроу шәҳәа.	Пожалуйста, опишите баг в двух словах.
0.49 грн. инарҭбааны	0.49 грн. подробнее
Адаҟьахь азхьарԥшра:	Ссылка на страницу:
Аилацәажәара далцоуп	Исключить из беседы
Аицлабра ахыркәшара:	Окончание конкурса:
Алкаақәа рахь аиасра	Перейти к закладкам
Апортативтә атехника	Портативная техника
Ари адҵаалара аныхра	Удалить этот запрос
Аудионҵамҭа азнагара	Поделиться эпизодом
Ахәыҷтәы порнографиа	Детская порнография
ацҳамҭа аҩҩра даҿуп…	набирает сообщение…
Ацҳарақәа мап ацәкра	Запретить сообщения
Ашықәс ҿыц ВКонтакте	Новый год ВКонтакте
Аҩызцәа рымш иирақәа	Дни рождения друзей
Аҩызцәеи аҽаҵаҩҩцәеи	Друзья и подписчики
ВКонтакте Афестиваль	Фестиваль ВКонтакте
ВКонтакте ахь аиасра	Перейти к ВКонтакте
Иҵегь аҩызцәа арбара	Показать ещё друзей
Казахтәылатәи атенге	Казахстанский тенге
Кристина Поплавскаиа	Кристина Поплавская
Свидеонҵамҭақәа рахь	К моим видеозаписям
Сыбжьынҵамҭақәа рахь	К моим аудиозаписям
Шәара шәзы еиҭашьақәыргылан шәхатә цҳамҭақәа, ахарбгалаҩ ила иныхаз шәдаҟьа аҟнытә.	Вам были восстановлены личные сообщения, удалённые с вашей страницы взломщиком.
Абжьынҵамҭа ныхтәума?	Удалить аудиозапись?
ажәеиларкка анҵамҭахь	комментарий к записи
Ажәеиларкка анҵамҭахь	Комментарий к записи
Акомпиутертә атехника	Компьютерная техника
Алҵшәақәа реиқәырхара	Сохранить результаты
Альбомқәа рахь ацҵара	Добавление в альбомы
Ампыҵакҩыс ахаргылара	Назначить владельцем
Анапылампылтә команда	Волейбольная команда
Анаԥхгаҩцәа рыхьӡынҵа	Список руководителей
Арҿиамҭақәа, аҭитәқәа	Произведения, товары
Асеансқәа зегь рыркра	Завершить все сеансы
Аҭиҩы иажәеиларккақәа	Комментарий продавца
Ахархәаҩцәа рҭауарқәа	Товары пользователей
Аҳәынҭқарра еилкааӡам	Страна не определена
Иҵегь ахҭысқәа арбара	Показать ещё события
свидеоқәа рахь ацҵара	добавить в мои видео
Свидеоқәа рахь ацҵара	Добавить в мои видео
Ҳшәыҳәоит, иалшәх ҵаҟа иаагоу аҭыԥқәа руак. Уи цхыраагӡахар алшоит адаҟьа аанкылара мзызс иамаз, иҳаҵанаҳәоит ари аҩыза аҭагылазаашьа ҳаԥхьаҟа ақәымшәара.	Пожалуйста, выберите один из пунктов ниже. Это может пролить свет на причины заморозки страницы и подскажет, как избежать таких ситуаций в будущем.
Авидеонҵамҭазы азашшра	Жалоба на видеозапись
Аӡәгьы ибжьы имҭииӡеит	Никто не проголосовал
Аиҿкааҩцәа ражәабжьқәа	Новости организаторов
Амодератор ихаргылара:	Назначить модератора:
Анҵамҭа ҿыц аҭӡамц аҿы	Новая запись на стене
Аԥшранҵақәеи аҿыханҵеи	Фотография и живопись
Аҭакқәа рахь аҽаҵаҩҩра	Подписаться на ответы
Аҭыӡҭыԥи аусура аамҭеи	Адреса и время работы
Афотоҭыхымҭақәа ацҵара	Добавление фотографий
Иактуалтәу аԥшранҵақәа	Актуальные фотографии
Иреиӷьоу аҟнытә аныхра	Удалить из избранного
Ишьақәшәыргыл аԥшранҵа	Установите фотографию
Анҵарба иалшом 15 иреиҳаны асимволқәа амазаара	Индекс не может содержать больше 15 символов
Закәытә рҿыцрақәеи ажәабжьқәа рҿы ирбо сҩызцәа	Какие обновления видят в новостях мои друзья
Аилазааратә гәыԥ ԥшаам.	Сообщество не найдено.
Аԥшранҵақәа рҭагалара »	Загрузить фотографии »
Асахьаҭыхымҭа адҳәалара	Прикрепить изображение
Аҽаҵаҩҩцәа рҿы ааныжьра	Оставить в подписчиках
Ашшыбӷьыц иадкылаӡамызт	Жалоба не была принята
Иҵегь ацҳамҭақәа арбара	Показать ещё сообщения
Ишиашо ицо аефир зызки?	О чем ваша трансляция?
Ари анҵамҭа рбарҭоуп иааигәоу шәҩызцәа рымацара	Эта запись видна только вашим близким друзьям
Дарбан сшьаҿақәа збо «Ашьаҿақәа ВКонтакте» аҟны	Кто может видеть мои шаги в «Шагах ВКонтакте»
Алахәцәа азҵааранҵаҿы уаҳа абжьы ҭиира рылшаӡом.	Участники больше не могут голосовать в опросе.
Абжьы аԥыхра ақәиҭымтәра	Запретить отмену голоса
Агәалашәарақәа рыхәаԥшра	Посмотреть воспоминания
Аиҭагара аҭоурых аҵәахра	Скрыть историю перевода
Алҵшәақәа зегьы раарԥшра	Показать все результаты
Апрограмматә еиқәыршәара	Программное обеспечение
Аԥошьҭа аиҭагара аҭоурых	История изменения почты
Аҭитә қәҿиарала иацҵоуп.	Товар успешно добавлен.
Аусмҩаԥгатәқәа реиҿкаара	Организация мероприятий
Ацҳарақәа аилакрақәа рҿы	Сообщения в сообществах
Ианышәҵа азхьарԥш ахҳәаа	Введите описание ссылки
Иарбоуп ииашам ажәамаӡа.	Указан неверный пароль.
Иҵегь аԥшранҵақәа арбара	Показать ещё фотографии
урыстәылатәи ахархәаҩцәа	российские пользователи
Шәажәеиларкка ахә ршьеит	Оценили ваш комментарий
Шәара ишәгәамԥхаз арбан?	Что Вам не понравилось?
Шәара ииашаҵәҟьаны ишәҭахума иаԥырышәхыр амобилтә бжьылда аномер аԥсахра?	Вы действительно хотите отменить изменение номера мобильного телефона?
Акатегориа иалшом 30 асимволқәа иреиҳаны амазаара	Категория не может содержать больше 30 символов
Ишәыдаҳныҳәалоит! Шәызгәаҭа қәҿиарала икьыԥхьоуп.	Поздравляем! ваша заметка успешно опубликована.
Аилацәажәара ахьӡ аԥсахра	Изменить название беседы
Аԥшранҵақәа рҿы ахҳәаақәа	Комментарии к фотографии
Ари анҵамҭа ианысымххьеи.	Я уже удалил эту запись.
Иҭашәгала аԥшаара аԥҟара.	Введите критерии поиска.
Ишиашо ицо аефир ала асра	Начать трансляцию звонка
Азгәаҭа иманшәаланы иныхуп	Заметка успешно сохранена
Аимадаратә дыррақәа арбара	Указать контактные данные
аҵыхəтəантəи х-аилыркаарак	три последних комментария
«Ԥсра зқәым аполк» акаҭаҿы	«Бессмертный полк» онлайн
Аԥсахрақәа анеиқәырхалагь ашьҭахь ари анҵамҭа ныххоит.	Эта запись будет удалена после сохранения изменений.
Аицлабраҟны шәхы алашәырхәа	Примите участие в конкурсе
Амаҵзура аамҭала иаанкылоуп	Сервис временно недоступен
Асахьақәа зегьы алаԥшхыгара	Посмотреть все изображения
Ашкол ацҵара азы аҿахәҳәага	Заявка на добавление школы
Азҿлымҳара змоу ала аилырхра	Сортировать по популярности
Аԥшранҵаԥсахга жәытә аарԥшра	Открыть старый фоторедактор
Аҭауар иқәыргылоуп вҭиирахь.	Товар выставлен на продажу.
Аҭел ахь анеирҭа ақәиҭымтәра	Запретить доступ к телефону
Ахархәаҩ иҭауарқәа архынҳәра	Вернуть товары пользователя
Ашшԥхьыӡ аӡыргаратә ҭоурыхаз	Жалоба на рекламную историю
Инарҭбаау адырраҭара аҵәахра	Скрыть подробную информацию
Аӡыргаразы аԥара ҳаргьежьуеит	Возвращаем деньги на рекламу
Акомпаниа агәыԥ 776 адиреқтор	Директор группы компаний 776
Аԥшранҵақәа альбом ахь ацҵара	Добавить фотографии в альбом
Дарбан сҭоурыхқәа збарц зылшо	Кто может видеть мои истории
Даҽа аилазааратә гәыԥк арбара	Показать ещё одно сообщество
Агәыԥаҿы аилыргара ала аԥшаара	Поиск по обсуждениям в группе
Адәқьан архиагақәа еиқәырхоуп.	Настройки магазина сохранены.
Ишәыдышәкыл иаразнак ҩ-ҳамҭак.	Принимайте сразу два подарка.
Аилацәажәара ааншәыжьыр шәара ишәоулоит, иҿыцу аацҳарақәа иалахәу рҟнытә. Шәара ишәылшоит ахынҳәра иҭацәу аҭыԥқәа анаало.	Покинув беседу, вы не будете получать новые сообщения от участников. Вы сможете вернуться при наличии свободных мест.
Абжьынҵамҭа иқәҿианы иҭагалоуп.	Аудиозапись успешно загружена.
Анеира аиҭашьақәыргылара залшом	Доступ восстановить невозможно
Аҵыхәтәантәи алҵшәақәа агәаҭара	Показать предыдущие результаты
Иарбоуп аҵыхәтәантәи ардыррақәа	Показаны последние уведомления
Иԥхьам аиҿцәаҽжәарақәа раарԥшра	Показать непрочитанные диалоги
Шәара ишәылшоит шәхаҭа шәацҵара	Вы можете добавить только себя
Аԥшьы ацҳамҭақәа рдәықәҵара азин аҭара аилазааратә гәыԥ ахьӡала	Разрешить приложению отправлять сообщения от имени сообщества
Еиҵыху ахыԥхьаӡараҭҵаарҭа аҿакра	Включить расширенную статистику
Шәҭел ахь секундқәак ирҭагӡаны инашьҭхоит 6-хыԥхьаӡарак змоу акод.	На ваш телефон в течение нескольких секунд придёт 6-значный код.
Санқт-Петербург, апр. Невскии, 28	Санкт-Петербург, Невский пр., 28
Иахәҭоуп ишәгәалашәозар ашәарҭадаратә ԥҟара хадақәа Аинтернет аҟны:	Необходимо помнить об основных правилах безопасности в Интернете:
Аелектронтә ԥошьҭа ииашам аҭыӡҭыԥ.	Неверный адрес электронной почты.
Алаҳәара аныхуп иреиӷьуқәа рҟнытә.	Объявление удалено из избранного.
Аԥшранҵа аилазааратә гәыԥ адаҟьаҿы	Фотография на странице сообщества
ВКонтакте амобилтә хархәагақәа рзы	ВКонтакте для мобильных устройств
Шәыграффити аилазааратә гәыԥ аҭӡамцахь	Создание граффити на стене сообщества
Шәҩызцәа аҳамҭақәа рзышәышьҭыр алшоит.	Вы можете отправить подарки мужчинам.
Аԥшранҵа аҭыԥахь адҳәалара ахсаала аҟны	Прикрепить фотографию к месту на карте
Аԥшранҵа қәҿиарала иацҵоуп ахсаала ахь!	Фотография успешно добавлена на карту!
