russianEDM	Электроника
russian5.3.4. загружать, хранить, публиковать, распространять и предоставлять доступ или иным образом использовать любую информацию, которая:	5.3.4. загружать, хранить, публиковать, распространять и предоставлять доступ или иным образом использовать любую информацию, которая:
russianсодержит угрозы, дискредитирует, оскорбляет, порочит честь и достоинство или деловую репутацию или нарушает неприкосновенность частной жизни других Пользователей или третьих лиц;	содержит угрозы, дискредитирует, оскорбляет, порочит честь и достоинство или деловую репутацию или нарушает неприкосновенность частной жизни других Пользователей или третьих лиц;
russianнарушает права несовершеннолетних лиц;	нарушает права несовершеннолетних лиц;
russianявляется вульгарной или непристойной, содержит нецензурную лексику, содержит порнографические изображения и тексты или сцены сексуального характера с участием несовершеннолетних;	является вульгарной или непристойной, содержит нецензурную лексику, содержит порнографические изображения и тексты или сцены сексуального характера с участием несовершеннолетних;
russianсодержит сцены насилия, либо бесчеловечного обращения с животными;	содержит сцены насилия, либо бесчеловечного обращения с животными;
russianсодержит описание средств и способов суицида, любое подстрекательство к его совершению;	содержит описание средств и способов суицида, любое подстрекательство к его совершению;
russianпропагандирует и/или способствует разжиганию расовой, религиозной, этнической ненависти или вражды, пропагандирует фашизм или идеологию расового превосходства;	пропагандирует и/или способствует разжиганию расовой, религиозной, этнической ненависти или вражды, пропагандирует фашизм или идеологию расового превосходства;
russianсодержит экстремистские материалы;	содержит экстремистские материалы;
russianпропагандирует преступную деятельность или содержит советы, инструкции или руководства по совершению преступных действий,	пропагандирует преступную деятельность или содержит советы, инструкции или руководства по совершению преступных действий,
russianсодержит информацию ограниченного доступа, включая, но не ограничиваясь, государственной и коммерческой тайной, информацией о частной жизни третьих лиц;	содержит информацию ограниченного доступа, включая, но не ограничиваясь, государственной и коммерческой тайной, информацией о частной жизни третьих лиц;
russianсодержит рекламу или описывает привлекательность употребления наркотических веществ, в том числе "цифровых наркотиков" (звуковых файлов, оказывающих воздействие на мозг человека за счет бинауральных ритмов), информацию о распространении наркотиков, рецепты их изготовления и советы по употреблению;	содержит рекламу или описывает привлекательность употребления наркотических веществ, в том числе "цифровых наркотиков" (звуковых файлов, оказывающих воздействие на мозг человека за счет бинауральных ритмов), информацию о распространении наркотиков, рецепты их изготовления и советы по употреблению;
russianносит мошеннический характер;	носит мошеннический характер;
russianа также нарушает иные права и интересы граждан и юридических лиц или требования законодательства Российской Федерации.	а также нарушает иные права и интересы граждан и юридических лиц или требования законодательства Российской Федерации.
russian5.3.5. незаконно загружать, хранить, публиковать, распространять и предоставлять доступ или иным образом использовать интеллектуальную собственность Пользователей и третьих лиц;	5.3.5. незаконно загружать, хранить, публиковать, распространять и предоставлять доступ или иным образом использовать интеллектуальную собственность Пользователей и третьих лиц;
russian5.3.6. осуществлять массовые рассылки сообщений без согласия Пользователей Сайта;	5.3.6. осуществлять массовые рассылки сообщений без согласия Пользователей Сайта;
russian5.3.7. использовать программное обеспечение и осуществлять действия, направленные на нарушение нормального функционирования Сайта и его сервисов или персональных страниц Пользователей;	5.3.7. использовать программное обеспечение и осуществлять действия, направленные на нарушение нормального функционирования Сайта и его сервисов или персональных страниц Пользователей;
russian5.3.8. загружать, хранить, публиковать, распространять и предоставлять доступ или иным образом использовать вирусы, трояны и другие вредоносные программы;	5.3.8. загружать, хранить, публиковать, распространять и предоставлять доступ или иным образом использовать вирусы, трояны и другие вредоносные программы;
russian5.3.9. использовать без специального на то разрешения Администрации Сайта автоматизированные скрипты (программы) для сбора информации на Сайте и(или) взаимодействия с Сайтом и его сервисами;	5.3.9. использовать без специального на то разрешения Администрации Сайта автоматизированные скрипты (программы) для сбора информации на Сайте и(или) взаимодействия с Сайтом и его сервисами;
russian5.3.10. любым способом, в том числе, но не ограничиваясь, путем обмана, злоупотребления доверием, взлома, пытаться получить доступ к логину и паролю другого Пользователя;	5.3.10. любым способом, в том числе, но не ограничиваясь, путем обмана, злоупотребления доверием, взлома, пытаться получить доступ к логину и паролю другого Пользователя;
russian5.3.11. осуществлять незаконные сбор и обработку персональных данных других лиц;	5.3.11. осуществлять незаконные сбор и обработку персональных данных других лиц;
russian5.3.12. осуществлять (пытаться получить) доступ к каким-либо Услугам иным способом, кроме как через интерфейс, предоставленный Администрацией Сайта, за исключением случаев, когда такие действия были прямо разрешены Пользователю в соответствии с отдельным соглашением с Администрацией;	5.3.12. осуществлять (пытаться получить) доступ к каким-либо Услугам иным способом, кроме как через интерфейс, предоставленный Администрацией Сайта, за исключением случаев, когда такие действия были прямо разрешены Пользователю в соответствии с отдельным соглашением с Администрацией;
russian5.3.13. воспроизводить, дублировать, копировать, продавать, осуществлять торговые операции и перепродавать Услуги для каких-либо целей, за исключением случаев, когда такие действия были прямо разрешены Пользователю в соответствии с условиями отдельного соглашения с Администрацией;	5.3.13. воспроизводить, дублировать, копировать, продавать, осуществлять торговые операции и перепродавать Услуги для каких-либо целей, за исключением случаев, когда такие действия были прямо разрешены Пользователю в соответствии с условиями отдельного соглашения с Администрацией;
russian5.3.14. размещать коммерческую и политическую рекламу вне специальных разделов Сайта, установленных Администрацией Сайта. Приобретение Пользователем платных услуг на Сайте осуществляется в порядке, установленном в специальных документах Администрации, размещенных на Сайте.	5.3.14. размещать коммерческую и политическую рекламу вне специальных разделов Сайта, установленных Администрацией Сайта. Приобретение Пользователем платных услуг на Сайте осуществляется в порядке, установленном в специальных документах Администрации, размещенных на Сайте.
russian5.3.15. размещать любую другую информацию, которая, по личному мнению Администрации, является нежелательной, не соответствует целям создания Сайта, ущемляет интересы Пользователей или по другим причинам является нежелательной для размещения на Сайте.	5.3.15. размещать любую другую информацию, которая, по личному мнению Администрации, является нежелательной, не соответствует целям создания Сайта, ущемляет интересы Пользователей или по другим причинам является нежелательной для размещения на Сайте.
russian5.4. Пользователь несет личную ответственность за любую информацию, которую размещает на Сайте, сообщает другим Пользователям, а также за любые взаимодействия с другими Пользователями, осуществляемое на свой риск.	5.4. Пользователь несет личную ответственность за любую информацию, которую размещает на Сайте, сообщает другим Пользователям, а также за любые взаимодействия с другими Пользователями, осуществляемое на свой риск.
russian5.5. В случае несогласия Пользователя с настоящими Правилами или их обновлениями, Пользователь обязан отказаться от его использования, проинформировав об этом Администрацию Сайта в установленном порядке.	5.5. В случае несогласия Пользователя с настоящими Правилами или их обновлениями, Пользователь обязан отказаться от его использования, проинформировав об этом Администрацию Сайта в установленном порядке.
russianПиринговая политика ВКонтакте	Пиринговая политика ВКонтакте
russianДанный документ не является договором или публичной офертой, он является инструкцией о том, как операторам связи можно организовать пиринг (прямой обмен интернет-трафиком) с сетью ВКонтакте. Постоянный адрес документа: http://vk.com/help.php?page=peering	Данный документ не является договором или публичной офертой, он является инструкцией о том, как операторам связи можно организовать пиринг (прямой обмен интернет-трафиком) с сетью ВКонтакте. Постоянный адрес документа: http://vk.com/help.php?page=peering
russianПиринг через публичные точки обмена трафиком	Пиринг через публичные точки обмена трафиком
russianНаиболее простой и быстрый способ получить пиринг с сетью ВКонтакте – это подключение к точке обмена трафиком (IX), на которой мы также присутствуем. ВКонтакте свободно обменивается трафиком через роут-серверы всех IX, к которым имеет подключение, со всеми присутствующими на них операторами, без каких-либо дополнительных условий или ограничений. При этом мы стараемся избегать приватных BGP-сессий во всех случаях, когда есть техническая возможность для обмена трафиком через роут-серверы.	Наиболее простой и быстрый способ получить пиринг с сетью ВКонтакте – это подключение к точке обмена трафиком (IX), на которой мы также присутствуем. ВКонтакте свободно обменивается трафиком через роут-серверы всех IX, к которым имеет подключение, со всеми присутствующими на них операторами, без каких-либо дополнительных условий или ограничений. При этом мы стараемся избегать приватных BGP-сессий во всех случаях, когда есть техническая возможность для обмена трафиком через роут-серверы.
russianСписок IX, к которым подключен ВКонтакте:	Список IX, к которым подключен ВКонтакте:
russianНаименование	Наименование
russianВозможные точки подключения	Возможные точки подключения
russianЕмкость подключения	Емкость подключения
russianПиринг через прямое соединение	Пиринг через прямое соединение
russianДругой возможностью для пиринга с сетью ВКонтакте является организация прямого соединения. Так как оборудование ВКонтакте расположено в Санкт-Петербурге, пиринг через прямое соединение можно организовать с нами только в этом городе. Для обеспечения отказоустойчивости и лучшей балансировки трафика мы попросим Вас сделать подключение параллельно по двум адресам: в дата-центре на Цветочной 21 и на Боровой 57.	Другой возможностью для пиринга с сетью ВКонтакте является организация прямого соединения. Так как оборудование ВКонтакте расположено в Санкт-Петербурге, пиринг через прямое соединение можно организовать с нами только в этом городе. Для обеспечения отказоустойчивости и лучшей балансировки трафика мы попросим вас сделать подключение параллельно по двум адресам: в дата-центре на Цветочной 21 и на Боровой 57.
russianПри выборе пиринг-партнёров для прямых соединений мы проверяем, какой объем трафика генерируется между нашими AS-SET, он должен быть не менее 1,5-2% от нашего суммарного трафика (то есть не менее 15-20 Гбит/с). Также мы обычно не устанавливаем пиринговых соединений с клиентами уже существующих пиринг-партнёров, за исключением тех случаев, когда имеющийся маршрут трафика не обеспечивает хорошей скорости доступа к сайту для конечных пользователей.	При выборе пиринг-партнёров для прямых соединений мы проверяем, какой объем трафика генерируется между нашими AS-SET, он должен быть не менее 1,5-2% от нашего суммарного трафика (то есть не менее 15-20 Гбит/с). Также мы обычно не устанавливаем пиринговых соединений с клиентами уже существующих пиринг-партнёров, за исключением тех случаев, когда имеющийся маршрут трафика не обеспечивает хорошей скорости доступа к сайту для конечных пользователей.
russianДополнительная информация	Дополнительная информация
russianСуммарный объем интернет-трафика, генерируемого социальной сетью ВКонтакте в часы наибольшей нагрузки – более 1 Tбит/с. Основное направление трафика – исходящее. Наш AS-SET - AS-VKONTAKTE, он состоит из двух автономных систем: основной, AS47541, и вспомогательной, AS47542.	Суммарный объем интернет-трафика, генерируемого социальной сетью ВКонтакте в часы наибольшей нагрузки – более 1 Tбит/с. Основное направление трафика – исходящее. Наш AS-SET - AS-VKONTAKTE, он состоит из двух автономных систем: основной, AS47541, и вспомогательной, AS47542.
russianАнонсируемые IPv4 префиксы	Анонсируемые IPv4 префиксы
russianАнонсируемые IPv6 префиксы	Анонсируемые IPv6 префиксы
russianДля выбора лучшего маршрута до конечного пользователя при наличии нескольких путей мы, как правило (но не обязательно), используем приоритеты (Local Preference) на установленные с операторами BGP сессии пропорционально имеющейся на стыке с ними свободной емкости (чем больше запас по емкости, тем выше приоритет). При этом просим обратить внимание, что попытки обойти установленные нами приоритеты путём искусственного дробления анонсируемых нам префиксов (more specific) приведет к отключению пиринга.	Для выбора лучшего маршрута до конечного пользователя при наличии нескольких путей мы, как правило (но не обязательно), используем приоритеты (Local Preference) на установленные с операторами BGP сессии пропорционально имеющейся на стыке с ними свободной емкости (чем больше запас по емкости, тем выше приоритет). При этом просим обратить внимание, что попытки обойти установленные нами приоритеты путём искусственного дробления анонсируемых нам префиксов (more specific) приведет к отключению пиринга.
russianМаршруты из сети ВКонтакте можно посмотреть через looking glass, доступный по адресу: http://lg.vk.com	Маршруты из сети ВКонтакте можно посмотреть через looking glass, доступный по адресу: http://lg.vk.com
russianКонтакты по вопросам взаимодействия с операторами связи:	Контакты по вопросам взаимодействия с операторами связи:
russianОрганизационные вопросы – {link_org}	Организационные вопросы – {link_org}
russianТехнические вопросы – {link_tech}	Технические вопросы – {link_tech}
russianСсылка, по которой Вы попытались перейти, содержит вирус.	Ссылка, по которой вы попытались перейти, содержит вирус.
russianСкорее всего, Вы получили её личным сообщением от друга, перешедшего ранее по подобной ссылке,	Скорее всего, вы получили её личным сообщением от друга, перешедшего ранее по подобной ссылке,
russianневзирая на все наши предупреждения и предупреждения своего браузера.	невзирая на все наши предупреждения и предупреждения своего браузера.
russianПожалуйста, сообщите об этом тому, кто прислал Вам это сообщение, и посоветуйте сменить пароль от аккаунта ВКонтакте и обновить антивирус.	Пожалуйста, сообщите об этом тому, кто прислал вам это сообщение, и посоветуйте сменить пароль от аккаунта ВКонтакте и обновить антивирус.
russianВКонтакте всегда следит за Вашей безопасностью!	ВКонтакте всегда следит за вашей безопасностью!
russianСсылка, по которой Вы попытались перейти, содержит вирус. Скорее всего, Вы получили её личным сообщением от друга, перешедшего ранее по подобной ссылке, невзирая на все наши предупреждения и предупреждения своего браузера.	Ссылка, по которой вы попытались перейти, содержит вирус. Скорее всего, вы получили её личным сообщением от друга, перешедшего ранее по подобной ссылке, невзирая на все наши предупреждения и предупреждения своего браузера.
russianПожалуйста, сообщите об этом тому, кто прислал Вам ссылку, и посоветуйте сменить пароль от страницы ВКонтакте и обновить антивирус.	Пожалуйста, сообщите об этом тому, кто прислал вам ссылку, и посоветуйте сменить пароль от страницы ВКонтакте и обновить антивирус.
russian%s участник не уверен, что придёт/%s участника не уверены, что придут/%s участников не уверены, что придут	%s участник не уверен, что придёт/%s участника не уверены, что придут/%s участников не уверены, что придут
russianСсылка, по которой Вы попытались перейти, ведёт на {link}фишинговый{/link} сайт, собирающий логины и пароли от ВКонтакте.	Ссылка, по которой вы попытались перейти, ведёт на {link}фишинговый{/link} сайт, собирающий логины и пароли от ВКонтакте.
russianВозможно, Вы получили её от пользователя, который, невзирая на все наши предупреждения, перешёл по этой ссылке и ввёл логин и пароль от ВКонтакте, после чего от его имени стали рассылаться спам-сообщения, содержащие ссылку. Пожалуйста, оповестите об этом пользователя, отправившего ссылку, и посоветуйте ему сменить пароль от аккаунта ВКонтакте.	Возможно, вы получили её от пользователя, который, невзирая на все наши предупреждения, перешёл по этой ссылке и ввёл логин и пароль от ВКонтакте, после чего от его имени стали рассылаться спам-сообщения, содержащие ссылку. Пожалуйста, оповестите об этом пользователя, отправившего ссылку, и посоветуйте ему сменить пароль от аккаунта ВКонтакте.
russianЕсли Вы хотите заблокировать эту ссылку, то выберите причину: {reasons} ({tag_domain} {/tag_domain}) и нажмите {link}заблокировать{/link}.	Если вы хотите заблокировать эту ссылку, то выберите причину: {reasons} ({tag_domain} {/tag_domain}) и нажмите {link}заблокировать{/link}.
russianВы получаете доступ к персональным данным. Использование этой информации разрешено исключительно в рабочих целях. Разглашение недопустимо.	Вы получаете доступ к персональным данным. Использование этой информации разрешено исключительно в рабочих целях. Разглашение недопустимо.
russianВсе обращения к персональным данным логируются.	Все обращения к персональным данным логируются.
russianПоказать всех возможных участников	Показать всех возможных участников
russianВызов ледяной водой	Вызов ледяной водой
russianОтправить вызов десяти друзьям	Отправить вызов десяти друзьям
russianВы уже отправили вызов своим друзьям.	Вы уже отправили вызов своим друзьям.
russianТекст содержит теги. Необходимо произвести замену на названия.	Текст содержит теги. Необходимо произвести замену на названия.
russianИзменения сохранены	Изменения сохранены
russianПриложение для генерации кодов успешно настроено.	Приложение для генерации кодов успешно настроено.
russianВы можете разместить запись на вашей странице, отправив SMS на номер 10716. Отправлять SMS необходимо с номера, привязанного к вашей странице.	Вы можете разместить запись на вашей странице, отправив SMS на номер 10716. Отправлять SMS необходимо с номера, привязанного к вашей странице.
russianСтоимость отправки такого SMS равна стоимости исходящего SMS на номера мобильных операторов Украины согласно вашему тарифному плану.	Стоимость отправки такого SMS равна стоимости исходящего SMS на номера мобильных операторов Украины согласно вашему тарифному плану.
russianСсылка, по которой Вы попытались перейти, ведёт на сайт, расположенный на бесплатном хостинге.	Ссылка, по которой вы попытались перейти, ведёт на сайт, расположенный на бесплатном хостинге.
russianОбычно такие сайты используются спамерами и мошенниками для перенаправления на потенциально опасные сайты, а также могут содержать вирусы.	Обычно такие сайты используются спамерами и мошенниками для перенаправления на потенциально опасные сайты, а также могут содержать вирусы.
russianМы не рекомендуем переходить по этой ссылке.	Мы не рекомендуем переходить по этой ссылке.
russianПотенциально вредоносная ссылка	Потенциально вредоносная ссылка
russianВКонтакте всегда заботится о Вашей безопасности!	ВКонтакте всегда заботится о вашей безопасности!
russianСсылка на подозрительный сайт	Ссылка на подозрительный сайт
russianСсылка на сайт с вредоносной программой (вирусом)	Ссылка на сайт с вредоносной программой (вирусом)
russianСсылка на вредоносный сайт	Ссылка на вредоносный сайт
russianСсылка, по которой Вы попытались перейти, содержится в подозрительном сообщении, поэтому может оказаться опасной.	Ссылка, по которой вы попытались перейти, содержится в подозрительном сообщении, поэтому может оказаться опасной.
russianВы покидаете ВКонтакте по внешней ссылке {url_text}.	Вы покидаете ВКонтакте по внешней ссылке {url_text}.
russianДля абонентов тарифного плана «3D-общение» Северо-Западного филиала ОАО «МегаФон», подключивших опцию «Безлимитный ВКонтакте», переход по ссылке будет тарифицироваться в соответствии с Вашим тарифным планом.	Для абонентов тарифного плана «3D-общение» Северо-Западного филиала ОАО «МегаФон», подключивших опцию «Безлимитный ВКонтакте», переход по ссылке будет тарифицироваться в соответствии с вашим тарифным планом.
russian4. Регистрация на Сайте ВКонтакте и статус Пользователя	4. Регистрация на Сайте ВКонтакте и статус Пользователя
russian4.1. Регистрация Пользователя на Сайте является бесплатной, добровольной и производится по адресу в сети Интернет: http://vk.com/join.	4.1. Регистрация Пользователя на Сайте является бесплатной, добровольной и производится по адресу в сети Интернет: http://vk.com/join.
russian4.2. Пользователем Сайта является физическое лицо, зарегистрированное на Сайте в соответствии с установленным настоящими Правилами порядком, достигшее возраста, допустимого в соответствии с законодательством Российской Федерации для акцепта настоящих Правил, и обладающее соответствующими полномочиями (ранее и далее – Пользователь).	4.2. Пользователем Сайта является физическое лицо, зарегистрированное на Сайте в соответствии с установленным настоящими Правилами порядком, достигшее возраста, допустимого в соответствии с законодательством Российской Федерации для акцепта настоящих Правил, и обладающее соответствующими полномочиями (ранее и далее – Пользователь).
russian4.3. При регистрации на Сайте Пользователь обязан предоставить Администрации Сайта необходимую достоверную и актуальную информацию для формирования персональной страницы Пользователя, включая уникальные для каждого Пользователя логин (адрес электронной почты либо комбинацию из латинских букв и цифр для входа на Сайт) и пароль доступа к Сайту, а также фамилию и имя. Регистрационная форма Сайта может запрашивать у Пользователя дополнительную информацию.	4.3. При регистрации на Сайте Пользователь обязан предоставить Администрации Сайта необходимую достоверную и актуальную информацию для формирования персональной страницы Пользователя, включая уникальные для каждого Пользователя логин (адрес электронной почты либо комбинацию из латинских букв и цифр для входа на Сайт) и пароль доступа к Сайту, а также фамилию и имя. Регистрационная форма Сайта может запрашивать у Пользователя дополнительную информацию.
russian4.4. Пользователь несет ответственность за достоверность, актуальность, полноту и соответствие законодательству Российской Федерации предоставленной при регистрации информации и ее чистоту от претензий третьих лиц.	4.4. Пользователь несет ответственность за достоверность, актуальность, полноту и соответствие законодательству Российской Федерации предоставленной при регистрации информации и ее чистоту от претензий третьих лиц.
russian4.5. После предоставления информации, указанной в п. 4.3. настоящих Правил, Пользователю необходимо пройти ряд удостоверительных процедур, а именно, (а) подтвердить регистрацию путем распознания автоматизированного теста, предназначенного для различия компьютеров и людей («капчи»); (б) подтвердить свою регистрацию путем активации персональной страницы через сообщение, отправленное Администрацией Сайта на электронную почту Пользователя; (в) подтвердить регистрацию путем введения в соответствующую форму на Сайте кода, полученного Пользователем в виде sms-сообщения от Администрации Сайта на мобильный телефон Пользователя, номер которого предоставляется самим Пользователем. В случае верного последовательного выполнения всех регистрационных действий на Сайте создается персональная страница Пользователя, имеющая сетевой адрес вида Виталий Михайлов. Пользователь вправе зарегистрировать не более одной персональной страницы на Сайте.	4.5. После предоставления информации, указанной в п. 4.3. настоящих Правил, Пользователю необходимо пройти ряд удостоверительных процедур, а именно, (а) подтвердить регистрацию путем распознания автоматизированного теста, предназначенного для различия компьютеров и людей («капчи»); (б) подтвердить свою регистрацию путем активации персональной страницы через сообщение, отправленное Администрацией Сайта на электронную почту Пользователя; (в) подтвердить регистрацию путем введения в соответствующую форму на Сайте кода, полученного Пользователем в виде sms-сообщения от Администрации Сайта на мобильный телефон Пользователя, номер которого предоставляется самим Пользователем. В случае верного последовательного выполнения всех регистрационных действий на Сайте создается персональная страница Пользователя, имеющая сетевой адрес вида Виталий Михайлов. Пользователь вправе зарегистрировать не более одной персональной страницы на Сайте.
