Апланета адгьыл паротиа,	ПЛАНЕТА ЗЕМЛя
Арҭ лич ҳәа изышьҭоу антилопақәоуп. Ршьапқәа хара-хара ишеиҿартәоу ала, аӡаҿы аҩразы иманшәалоуп.	Это - антилопы личи, у них широко расставленные копыта, которые позволяют им просто бегать по воде.
Егьырҭ ари аҭып уамак иргәаԥхом.	Другие чувствуют себя в новой среде не так комфортно.
Амышәқәа. Павианқәа. Аҽыкәабара рацәак ирҭахым.	Медвежьи павианы не любят купаться.
Аԥстәқәа зегьы рзы аӡы иацны иааиуеит абарақьаҭра аамҭа.	с приходом воды для всех животных наступает сезон изобилия.
Агиена лақәа.	Гиеновые собаки.
Арҭ алақәа уажәы рхыԥхьаӡара маҷӡахеит Африка.	сейчас они стали одними из самых редких животных Африки,
Убас шакәугьы аконтинент аҿы дара реиԥш ибзианы ишәарыцо ԥстәы ыҟам.	что не мешает им быть самыми эффективными хищниками на континенте.
Рышәарыцара маӡасгьы иаҵоу рҽеидкыланы иахьышәарыцо ауп.	Их секрет - это совместная охота, охота в команде.
Зегь реиҳа изышьҭоугьы импал ҳәа иҟоу антилопоуп.	А излюбленная добыча - антилопы импалы.
Ашәарыцара ианналаго рҽеиҩыршоит.	Перед началом охоты стая разделяется.
Хыхьынтәи урылаԥшыр, ибзианы иубоит рышәарыцара шымҩаԥырго.	с высоты птичьего полёта можно увидеть, какова их стратегия.
Агыгшәыгқәа изышьҭоу аԥстәы иананиа, нас иаакәшаны, мацәазҵас иҭаркуеит.	Обнаружив добычу, хищники разбегаются и окружают стадо с разных сторон. Они берут антилоп в плотное кольцо.
Алақәа хаз-хазы ҭыԥк-ҭыԥк алхны, ҿымҭ иаагылоит.	Каждая собака бесшумно занимает строго определённую позицию.
Ҷыт-бжьык раҩшәом.	Эти уши могут уловить малейший шорох.
Ашәараыцара иалагеит.	Охота началась.
Х-лак ԥхеибарс, антилопак иашьҭалоит.	Три собаки бросаются в погоню за одной импалой.
Ирзымкӡеит.	Не поймали.
Алақәа раԥхьагыла антилопақәа рымҩа кны иԥшу аҩызцәа рышҟа иԥхьанацоит.	Вожак гонит импал к засевшим в засаде сообщникам.
Урҭ ахьыҟоу адыруеит азы амҩа ааихҵәаны антилопақәа ирыжәло аҩыза иацлоит.	Зная их расположение, вожак срезает угол и присоединяется к соратнику, который атакует с фланга.
Ма рызегьы ргароуп. Ма акгьы.	Всё или ничего. Один на один.
Избанзар зегьы акака рыхьӡароуп. Алақәа акыр рылшоит, антилопақәагьы ласуп.	У собаки выносливость, у импалы скорость.
Уаҳа анрылымша аӡмыжь рҽарҭоит.	Прыжок в озеро - это акт отчаяния,
Аха антилопақәа зыӡсаӡом. Алақәа ирдыруеит иӡхымҵыр, иӡааҟәрылоит ауп.	импалы почти не умеют плавать. собаки знают, что добыча должна выйти на берег, иначе она утонет.
Уажәшьҭа иԥшыроуп. Аха аҩызцәагьы рыԥхьоит.	Теперь им остаётся лишь ждать. Но их зовут сообщники по стае.
Абнаҿы ԥыхьашәа зауз рҩызцәа аишәачарахьы ирыԥхьоит.	Они поймали добычу в лесу и приглашают остальных присоединиться ктрапезе.
Ари антилопа аразҟы иакит, иӡхыҵыр алшоит шьҭа.	Этой импале повезло, можно выйти на берег.
Ариаҟара алақәа анеицышәарыцо мышкы знык ауп, ироуз рдырҩатәгьы еиҩшаны ирфоит.	стая такого размера охотится раз в день и делит всю добычу на всех.
Ари аԥсы агеит.	А эта импала спаслась.
Асланқәа рныҟәара ду аҵыхәахь инеит. Мчыбжьыла амҩа иқәын, икарахеит.	слоны приближаются к концу долгого путешествия. Они шли много недель и очень устали.
Асланқәа раԥхьагыла – аматриарх- аӡы шааигәоу ацәа иадырит аҟнытә агәыԥ аанымгыларц азы иеиханы ицоит.	Главная слониха - матриарх - чувствует близость воды и убеждает стадо сделать последнее усилие.
Аслан хәыҷқәа уаҳа рылшом, аха ранацәа уажәадагьы иаахьеит, ирдыруеит аӡы ааигәа ишыҟоу.	Бедные слонята выбились из сил, но их матери уже проделывали этот путь и знают, что вода близко.
Акыр хара иныҟәеит, аха асланқәа аӡы ахьыҟаз иааит.	Пройдя не одну сотню километров слоны достигли цели.
Арҭ асланқәа рыԥсҭазаара есышықәса имҩаԥысуа аамҭа аиҭасрақәа – аӡысаамҭеи аарҩареи ирхьыԥшуп.	Жизнь этих слонов подчинена ежегодной смене влажных и засушливых сезонов.
Аамҭақәа реиҭныԥсахларақәа Амра ацикл ауп изыдҳәалоу.	А эта смена связана с цикличностью солнца.
Апланета аладатәи аполиус аҿы ԥшьымыз ишыхәлара ихәлоит. Уи анаҩс Антарктида еиҭа Амра гылоит.	На южном полюсе планеты после 4 месяцев полной темноты над Антарктидой снова встаёт солнце.
Шьҭа аимператортә пингвинқәа рҭыԥқәа ирхыҵны ицар рылшоит.	Теперь императорские пингвины могут, наконец, покинуть гнездовье.
Арбаӷьқәа алӡынрак зырԥхара иаҿыз рыкәтаӷьқәа шыркыц иркуп.	самцы всё ещё носят драгоценные яйца, которые они согревали в течение полярной зимы.
Амра анаацәырҵлак апингвинԥшқақәа ахыҵра иалагоит.	с приходом солнца из яиц начинают вылупляться птенцы.
Агьырҭ аԥсаатәқәа макьана имааӡац арахь, аха ари аӡынра ду зхызгаз апингвинқәа рыԥшқақәа еиҳа ԥыжәара рымоуп иаараны иҟоу раасҭа.	Другие птицы ещё не прилетели, но пингвины, пережившие долгую полярную ночь, дали своим птенцам большое преимущество.
Урҭ азыҟаҵоуп лассы ииасуа антарктикатәи аԥхынра.	Эти птенцы готовы во всеоружии встретить короткое антарктическое лето.
