1 АПЛАНЕТА АДГЬЫЛ	ПЛАНЕТА ЗЕМЛя
253 Аҵаа анықәҵлак 254 Аҩадатәи Арктикаҟа иԥырны иаауеит амшын ԥсаатә.	Когда лёд сходит, в полярную Арктику возвращаются морские птицы.
255 Иԥырны иаауеит гагарки лиурики миллионла 256	Малые гагарки или люрики прилетают миллионами.
Ганкахьала, дара аҩадатәи апингвинқәа рекологиатә формоуп ирымоу ҳәа 257 рзуҳәар ҟалоит.	В каком-то смысле их можно назвать экологической формой пингвинов севера.
258 Урҭ ацаҟьақәа рҿоуп иахьҵо, ԥшралагьы дара апигвинқәа иреиԥшуп,	Они откладывают яйца на скалах, да и внешне похожи на пингвинов.
259 хылҵшьҭрала зынӡагьы ирзааигәаӡам аха.	Хотя, конечно, отнюдь не родственны им.
260 Антартика иадкыланы уахәаԥшуазар, Арктиа Адгьыл аҿы иҟоу агыгшәыгқәа ирҿырхасҭоуп, 261	В отличие от Антарктики, Арктика доступна наземным хищникам,
Убри аҟнытә апингвинқәа реиԥш акәымкәа, 262 Лиурики аԥырра рылшоит.	поэтому люрики сохранили способность к полётам, в отличие от пингвинов.
263 Урҭ рыкәтаӷқәа абахәқәа рҿы, Ахаҳәқәа рыбжьара 264 Метрак аҟара инарҵауланы ибжьарҵоит.	Они прячут яйца на каменистых склонах, в нишах между камнями, на глубине до метра.
265 Аԥхынра ашыкьымҭазы Амра ҭашәаӡом, 266 Маҷӡак иналбааны еиҭахалоит.	В разгар лета солнце не заходит, оно едва касается горизонта и снова поднимается.
267 Иеиҭаҵуа аԥстәқәа иахьабалакынтә ихыҵны Арктикаҟа иаауеит, 268 урҭ хынҳәны иаауеит афатә барақьаҭ иҟоу иашьҭаланы,	Мигрирующие животные спешат в Арктику со всех сторон, они возвращаются чтобы воспользоваться обилием пищи, произвести на свет потомство.
270 Канадатәи аҟызқәа ԥырны иааит аладатәи Америка Аштатқәа рахьтә.	Канадские журавли прилетели с зимовок на юге сША.
271 Уа аӡынра ыиасаанӡа ҳәа иԥшын.	Там они переждали зиму.
272 Арҭ рҵыс ԥшқақәагьы аԥсаатә ҿа инарыцлеит	Их птенцы пополняют ряды молодняка и начинают исследовать тундру.
273 Тундра аҭҵаарагьы иналагеит.	Рядом с ними
274 Урҭ ирыцуп куликқәа рҵысԥшқақәагьы	птенцы куликов.
275 Шықәсык абжьара мызқәак 276 Арктика уахгьы ҽынгьы амра ҭашәаӡом.	На несколько месяцев в году Арктика становится страной полночного солнца,
277 24 сааҭ лашароуп аҟнытә аԥстәқәа ари аамҭазы уахынлагьы ҽынлагьы акрыфара рылшоит.	и 24 часа света позволяют животным кормиться круглосуточно.
278 Абгахәыҷы фатәыла иеиқәшәоуп, аҭаацәа ду акрырҿанҵартә иҟоуп.	У песца, наконец, достаточно пищи, чтобы прокормить большую семью.
279 Аҵысҭра ихту ҭыԥк аҿы ианыҟауҵа, угәуҽаныз, 280 ихьчалатәуп.	Если строишь гнездо на открытом месте, то будь готов, что придётся его защищать.
281 Апоморник дуқәа рлеишәа бааԥсуп, иакәым ҟазҵаз иарбанзаалак ықәырцоит, 282	Большие поморники рьяно прогоняют любых нарушителей,
Аҳаскьын зфо аԥстәы дуқәагьы, Иара убас карибаҵәҟьагьы.	даже крупныхтравоядных, даже карибу.
283 Абас.	Так.
284 Аҵысҭра ааигәара умнеироуп.	Не подходи к гнезду.
285 Аферым, абар апоморник аҵысҭра иаӷрагылар ауӡом.	Какой молодец, вот поморник, не даёт наступить на гнездо.
286 Иҵааршәыроу адунеи шыӡыҭра иӡыҭит.	Ледяной мир самца белого медведя окончательно растаял.
287 Ахәыҷқәа ан адгьыл аҿы инкыланы Ирыманаҵы, аб афатә ԥшаара ицоит 289	Пока самку держат на суше детёныши, самец в поисках пищи отправляется в море.
Хӡаарҟәрыла ҟанаҵоит.	Он ныряет,
290 Имӡыҭыцкәа иаанхаз аҵааҿы зыԥсы зшьо атиуленқәа сԥыхьашәозар ҳәа.	рассчитывая подстеречь тюленей, отдыхающих на оставшихся льдинах.
291 Амшә шашьцыламгьы Иџьаушьаратәы ибзиаӡаны иӡсоит.	В этой новой среде медведь оказывается на удивление искусным пловцом.
293 Уажәаԥхьа аӡы аԥшаҳәа шә-километрак инацәыхарамкәа	Ещё недавно увидеть белого медведя в ста километрах от берега
294 амшәқәа шамахамзар, иубаӡомызт,	считалось большой редкостью,
295 Аха шьҭа аҵаа аӡыҭра ианалага, ари ашықәс аамҭазы	Но теперь обильное таяние льдов заставляет их большую часть
296 Амшәқәа раамҭа еиҳарак аӡаҿы ирхыргоит.	времени проводить в воде в этот период года.
297 Ари амшә шьҭа шьҭахьҟа хынҳәышьа амаӡам.	И у этого медведя обратного пути уже нет, он должен плыть всё дальше в море.
298 Иҵегьы амшын агәахьы инаскьалароуп 299 афатә аԥшааразы.	В поисках пищи.
300 Аԥхьатәи ашьап дуқәа ацырхырааны иқәԥоит аокеан еиҭаҵра иаиааиразы.	Огромные передние лапы помогают бороться с океаническими течениями.
301 Аокеан аҿы аҩны иҟоушәа ахы абоит уҳәап,	Кажется, что он чувствует себя как дома в океане,
302 Аха ас ҵыхәаԥҵәарада изыӡсом.	но он не может плыть бесконечно.
303 Иӡааҟәрылоит ауп, иҳәаадоу ари аокеан аҿы дгьылк азымԥшаар.	Он просто утонет, если не сможет найти сушу в бескрайнем океане.
304 Насыԥны, алаԥшҳәаа ахьынаӡоз џьара дгьылбжьахақәак цәырҵит.	К счастью, на горизонте появились острова.
305 Амшынҳәақәа -моржи) илбааганы ишьҭоу адгьылбжьахақәа рҿы рҽеидыркылоит.	Моржи собираются на низколежащих островах.
306 Арҭ аҩадатәи ашьапҟьаҟьақәа аҵааҿоуп рыхшара ахьроуз,	Эти крупные ластоногие севера произвели потомство на льдинах,
307 Аха шьҭа, аҵаа анықәҵ, 308 Иахьықәиаша, рыхшара ахьныҟәыргаша аҭыԥқәа ирышьҭалароуп.	но теперь, когда ледяной покров сошёл, они должны искать новые места для лежбищ и ухода за детёнышами.
309 Амшә шкәакәа мышқәак рышьҭахь 310 аԥынҵа иҭасыз афҩы иашьҭаланы 311 иӡхыҵуеит аҟәарахьы.	После нескольких дней плавания самец белого медведя, наконец, выходит на берег, привлечённый резким запахом со стороны острова.
312 Афатә афҩы аҳаит.	Запахом пищи.
313 Аԥхынра анҵәамҭазы амшә аҟара агхеит,	К концу лета медведь потерял половину своего веса,
314 аҵаа анықәҵ афатә адгьыл аҿы иаԥшаар акәхеит.	в отсутствие льдов он вынужден искать пищу на суше.
315 Ари адгьылбжьахаҿы афатә аԥшаара ус имариахом.	На этом острове добыть еду будет нелегко.
316 Арҭ ашьапҟьаҟьа дуқәа ус рхы урҭом.	Эти громадные ластоногие не дадут себя в обиду.
317 Ан акапан тоннак иеиҳауп, Метрак аура змоу ацқәа рылагьы иеибыҭоуп,	самец весит больше тонны и вооружён клыками метровой длины.
318 Аӡсара акыр иарааԥсаз амшә амчқәа шьақәнаргылароуп.	После утомительного плавания медведю нужно восстановить силы.
319 Аԥсы ашьароуп.	щтдохнуть.
320 Адырҩаҽны адгьылбжьаха анаҟә ықәчуеит.	На следующий день остров окутываеттуман.
321 Аморжқәа шәарҭарак шыҟоу Рцәа ианыруеит.	Моржи чуют опасность.
322 Анаҟә аҽалакны амшә аԥстәқәа рҽеизакны иахьыҟоу иазааигәахоит.	Под прикрытием тумана медведь подходит к стаду.
323 Адуқәа аӡәи-аӡәи еишьҭагыланы рыхшара ирываӷӷы иаагылоит 324 Ашшеи ацәа жәпеи ркәылӡы аарыкәыршаны.	Взрослые смыкают ряды вокруг своих детёнышей, образуя стену из жира и толстых шкур.
325 Амшә акәылӡы ӷәаӷәазар гәанаҭоит.	Медведь пробует барьер на прочность.
326 Аха аморжқәагьы ируам.	Но моржи не поддаются.
327 Адгьыл аҿы зегь раасҭа идуу агыгшәыг 328 мчла иара иаҟараз аӷа ианиазар ҟалап..	Похоже, что самый крупный наземный хищник в мире встретил равного противника.
329 Ари ахыхьчага кәылӡы кылаарак амамкәа ишԥаҟалоз?	Должна же быть хоть какая-то щель в этой броне?
330 Ара акәӡам.	Ну, точно не здесь.
331 Ан ахшара аԥхьа инагыланы иаҵәахуеит, 332 Амшә уи наҟ иаԥырызгоит ҳәа иаҿуп.	самка заслоняет собой детёныша, медведь пытается отпихнуть её в сторону.
334 Амшә шкәакәа ашьапхыцқәеи анапхыцқәеи рылагьы аморж ацәа жәпа азкылҵәом.	Даже когти и зубы белого медведя не способны продырявить толстую шкуру моржа.
335 Аԥстәқәа уажәы аӡы иҭалоит, Амшә ццакыроуп.	стадо уходит в воду, медведь должен действовать быстро.
336 Аморжкқәа руакы ианазымиааи Даҽакахьы иҩуеит.	Потерпев неудачу с одним моржом, он бросается к другому.
337 Шьыбжьхьатәи акрыфара башахеит, ала ишабо агәыӷра нампыҵышша ицоит.	Надежда на долгожданный обед рушится на глазах.
338 Амшә агәы каҳаит шьҭа.	Медведя охватывает отчаяние.
339 “Ма уара, ма сара” аҳәошәоуп.	Кажется, он говорит: "сейчас или никогда".
340 Ац ҵарқәа шьҭа схы рцәызгеит агәахәит,	Он едва успевает отворачиваться от острых клыков.
341 Аха аморж амч џьашьахәуп, Амшә аӡахьы ирҳәазаны иагоит,	Но морж обладает невероятной силой, он тащит медведя в воду,
342 аҩызцәа рахь. 343	к своему стаду.
Абар, аморж амшә иампыҵҵәрааит.	Ну, и вот, морж выскользнул из медвежьих объятий.
344 Аԥхынра ашыкьымҭаз, амлакра ианхықәгылоуп 345 амшәқәа игәаӷьны абас аԥсҭазааразы ишәарҭоу афатә ианашьҭала.	Только в разгар лета, находясь на грани голодной смерти, медведи отваживаются нападать на столь опасную добычу.
346 Ари гәаӷьуацәан, амшәгьы аҵахеит.	Это была авантюра, медведь рискнул и проиграл.
347 Аморж ацқәа амшә ианырҵаз ахәрақәа мариам, 348 аарла иныҟәоит.	Раны, оставленные клыками моржей, настолько серьёзны, что он едва может идти.
349 Аморжқәа ргәы дырҭынчит	А моржи успокоились.
350 Урҭ ирдыруазар акәхап, 351 ирхәыз амшә шьҭа рхәыҷқәа рзы ишшәарҭам.	Видимо они знают, что тяжело раненный медведь не представляет угрозы для них и их потомства.
352 Амш зымшәарыцо ианыҟала, иҭахоит.	Если медведь не сможет охотиться, он погибнет.
353 Аԥхарра ду анаанымкыла, 354 есышықәса Арктикатәи аҵааршәырақәа изаацәаны аӡыҭра ианалага, 355 Амшәқәа џьоукы, хымԥада, урҭ ирлахьынҵахаз рлахьынҵахоит.	Если глобальное потепление продолжится, и арктические льды с каждым годом будуттаять всё раньше, то, несомненно, многие медведи разделят его судьбу.
356 Ҳапланета аладатәи аполиус аҿы аӡынтәи ажәҩан 357 цәаҳәа-цәаҳәа еилыԥхаауеит.	А на южном полюсе нашей планеты зимнее небо озаряется яркими полосами.
358 Ари аладатәи аполиартә лашароуп.	Это - южное полярное сияние.
359 Ари алашара апингвинқәа аԥхарра рнаҭаӡом.	Такой свет не приноситтепла самцам пингвинов,
360 Дара еиҭа Апланетаҿы зегьы раасҭа иӷәӷәоу аӡын иаҿагыларц азы 361 рҽеидырӷәӷәаланы игылоуп	которые по-прежнему жмутся друг к другу, бросая вызов самой холодной зиме на планете.
362 Аха зегь акоуп урҭ рԥышәара шьҭа ахыркәшамҭахь инеиуеит.	Но всё-таки близится конец их испытаниям.
363 Арктика аҵыхәтәаны амра анынҭашәа инаркны 30 мшы рышьҭахь 364 еиҭа Амра гылоит.	Через 30 дней после последнего заката над Антарктикой снова восходит солнце.
365 Абри азоуп егьа гәаҟра рхыргазаргьы изырхыргаз.	Вот ради чего они терпели такие лишения.
366 Абацәа зегьы рыца иҭоу афатә знык ирфаша ауп.	У каждого отца в желудке осталась одна порция еды,
367 Аб инымхӡакәа алӡынрак иҵәахны иамаз 368 ари афатә заҵәы аԥшқақәа 369 даҽа мышқәак инанагоит.	он берёг её всю зиму. Это единственное кормление даст птенцам возможность продержаться ещё несколько дней.
370 Аха дара рхаҭақәа ԥшьымз инарзынаԥшуа акгьы рымфаӡац.	Но отцы не ели почти 4 месяца.
371 Даҽакы рхьымӡар 372 рԥацәагьы даргьы ҭахоит.	Если не придёт подкрепление, то они погибнут вместе со своими детёнышами.
373 Абар агәаыӷра ацәаара аацәыҵыԥшит.	И вот на горизонте замаячила надежда.
374 Акыраамҭа иззыԥшыз ранацәа рыцақәа рҭәны хараӡа, ирбаратәы иааиуеит.	Долгожданные мамочки возвращаются с полными желудками.
375 Урҭ ааигәахацыԥхьаӡа 376 Арбаӷьқәа зегьы гәырӷәарак нарылалоит.	При их приближении всю мужскую половину охватывает радостное волнение.
377 Анацәа дасу изтәу рахь иеихоит. 378 Даргьы аҭынха бжьы дырны иақәҿнаҭуеит	Каждая мамаша зовёт своего верного супруга, он, узнав её по голосу, отзывается.
379 Абри аӷьал-пал иалҩны ишеибаԥшаауа атәы еилкаашьа амаӡам.	Как это происходит в таком шуме и давке, понять просто невозможно.
380 Аҵыхәтәаны, аҩыџьагьы рҽеидыркылоит.	Наконец, пары воссоединяются.
381 Ангьы раԥхьаӡа акәны аԥшқа абоит.	И мама впервые видит своего птенчика.
382 Уи анҵас иалшо зегьы аанарԥшыроуп.	Ей не терпится проявить материнскую заботу,
383 Аха уаанӡа аԥшқа иахылаԥшуаз аб, уажәы ус иаарласны ан ианаҭом.	но отец не торопится отдать детёныша, за которым ухаживал.
384 Аб иазгәыӷьуам, иацәшәоит,	Папаша не хочет рисковать,
385 Аԥшқа аҵаа азымычҳар ҟалоит, секундқәак рыҩныҵҟала иҵаауеит.	ведь на морозе малышка может замёрзнуть в считанные секунды.
386 Аха знымзар-зны игәаӷьтәыми. 387 Аҵыхәтәаны, аԥшқа акгьы амыхьӡакәа 388 Ан ашҟа ииагахоит, амгәа аҵаҟа иҵанартәоит..	Но, рано или поздно, отцу приходится уступить. И, в конце концов, птенец благополучно переезжает под брюшко матери.
389 Аԥсыӡи акальмарқәеи аԥшқақәа ирзеиӷьуп азы лассы ирызҳауеит.	На питательной смеси из рыбы и кальмаров малыши растут быстро.
390 Хара имгакәа имшәа-имырҳа, иаарыкәыршаны иҟоу адунеи аҭҵаара иналагоит, аха 391 ранацәа рылаԥшгьы рхызароуп	И вскоре они уже отважно исследуют окружающий мир, но под бдительным присмотром матерей.
392 Ари аԥшқа рыцҳахеит, Ан хнымҳәӡеит, 393 Иҟалап амшын леопард иаҿыҵашәазар.	Этому птенцу не повезло, его мать не вернулась за ним, возможно, она погибла в зубах морского леопарда.
394 Абар иеиҭымхаз даҽакы, аҭаацәа ирышьҭоуп, 395 Аха ари иара аԥшқа аҵоуп.	А вот ещё один сирота ищет новую семью, но у этой самки уже есть птенец.
396 Иеиҭымхаз аҵыс ԥшқақәа инармыцхәны ахылаԥшра рырҭоит 397 Зыԥшқақәа зцәыӡыз анацәа, 398 Анра иазгәышьуа апингвинқәа раԥхьа ирԥыхьашәаз 399 еиҭымхаз аԥшқа еимакны рыгәқәа нибархоит.	А некоторые сироты страдают от чрезмерного внимания самок, которые потеряли своих птенцов, желание стать матерью так сильно, что они дерутся друг с другом за право усыновить первого попавшегося осиротевшего птенца.
400 Зны-зынла ари аимак арыцҳарақәа ахылҵуеит.	Иногда такие потасовки заканчиваются трагедией.
401 Аԥшқа адуқәа ршьапы иашьуеит.	Взрослые затаптывают несчастного птенца насмерть.
402 Аҭаацәа змоу аҵыс ԥшқа Лассы ахныҟәгашьа рҵоит.	Птенцы, у которых есть родители, быстро усваивают навыки выживания.
403 Ааԥынразгьы рыҽдырԥхарц азы дара ҳәыԥкны рҽеидыркылар акәхоит.	Даже весной им приходится сбиваться в тесные кучи для тепла, как это делали их отцы в разгар зимы.
404 Рҭаацәа ус аныҟарҵоз аӡын ианашыкьымҭаз акәын. 405 Арҭ аҵысԥшқақәа Асыҭәҳәа аныҟаз иҟьалеит.	А эта группа птенцов заблудилась во время снежной бури.
406 Ишәаз, ахьҭа иакыз аԥшқақәа Рҩызцәа ирышьҭоуп.	Замёрзшие и напуганные птенцы ищут колонию.
407 Аха анаатә (бур)аҽарӷәӷәоит. 408 Дук мырҵыкәа арҭ аҵысԥшқақәа раԥхьатәи рыԥсҭазаара аманы ицоит.	Но буря усиливается. И скоро она унесёт первые жизни этих малышей. Где же родители?
409 Аҭаацәа абаҟоу? 410 Аԥхынра алагамҭазы иеиқәхаз Аҵысԥшқақәа ӷәӷәахоит.	К началу лета выжившие птенцы уже хорошо развиты и вполне готовы бросить вызов миру.
411 Аԥсҭазаара иацәымшәаратәы иҟалоит. 412 Аԥхьатәи ашықәс азы иеиқәхаз 413 Раԥхьаҟа еиҳа рылшоит, 414 Рҭаацәа ирхыргаз ааӡаб нас дара ирԥылоит.	Те, кто выжил в течение первого года жизни, получают преимущество в дальнейшей своей судьбе, благодаря невероятным трудностям, которые вынесли их родители.
415 Арктикатәи аӡынра иацәцаз, Ахьшәашәара бааԥс иаиааиз аҭаацәа.	Родители, которые сразились с антарктической зимой и победили.
416 Арктика амышәҳәарақәа ирызҳаит, Шьҭа рҳала рхы рбартә иҟоуп, ранацәа ирхьыԥшӡам. 417 Урҭ т аамҭа кьаҿк ауп ианрыцу.	А в Арктике подросшие медвежата уже не зависят от матерей и воссоединяются с ними лишь на короткое время, когда ихтерритории пересекаются.
418 Рҭыԥқәа анеиқәшәо мацара. 419 Ҭаацәарак иатәу амышәҳәарақәагьы Такәаамҭа иеицынхаӡом, 420 Рыԥсҭазаара аиҳарак рхала иҟоуп 421 ҳәаа змаӡам аокеан дәышкәаӷьаз аҿы. 422	Даже медвежата из одной семьи недолго пробудут вместе, большую часть своей жизни они проведу в одиночестве на бескрайних просторах замёрзшего океана.
Ран ахымҩаԥгашьа иаҿырԥшны Арктикатәи аԥсҭазаара иазыҟанаҵеит.	своим примером мать подготовила их к жизни в Арктике,
423 Есааира зҽеиҭазкуа, аси, аҵааршәыреи, аҵааи аҳра ахьыруа ари адунеи аҿы 424 ԥхьаҟатәи аԥсҭазаара иаанарԥшуеит абарҭ аԥстәы ссирқәа	в этом изменчивом мире, которым правит снег, лёд и мороз.
425 аԥхарра иаанаго аиҭакра ду иахьынӡазхиоу, 426 Уи иҟанаҵо анырра шьҭа иубаратәы иҟалахьеит ҳапланета 427 иҵааршәыроу адунеиқәа рҿы.	Будущее покажет, готовы ли эти великолепные звери к глобальным переменам, которые несёт потепление, ведь его воздействие уже становится заметно в ледяных мирах нашей планеты.
428 Апродиусер ВАНЕССА БЕРЛОВИЦ	Продюсер ВАНЕссА БЕРЛОВИЦ
429 Аоператорцәа: дАГ АЛЛАН,И ДАГ АНДЕРСОН, ДЕВИД БЕИЛИ, 430 БАРРИ БРИТТЧ, РИЧАРД БАРТОНИ егьырҭи	Операторы: ДАГ АЛЛАН,. ДАГ АНДЕРсОН, ДЭВИД БЭИЛИ, БАРРИ БРИТТОН, РИЧАРД БАРТОН и другие
Акомпозитор ЏОРЏ ФЕНТОН	Композитор ДЖОРДЖ ФЕНТОН
432 Асериала апродиусер АЛИСТЕР ФОТЕРГИЛЛ 433	Продюсер сериала АЛИсТЕР ФОТЕРГИЛЛ
""Би-Би-Си"" аҭыжьымҭа 434	Производство "Би-Би-си"
Даԥхьон Лиана Ебжьноу-ԥҳа	Рассказывал НИКОЛАЙ ДРОЗДОВ
