RU1	ПЛАНЕТА
RU1704	поймать
RU1705	около
RU1706	полусотни
RU1707	мошек.
RU1708	Этих
RU1709	мошек
RU1710	хватает
RU1711	на
RU1712	всех,
RU1713	даже
RU1714	если
RU1715	на
RU1716	них
RU1717	одновременно
RU1718	охотятся
RU1719	сотни
RU1720	ящериц.
RU1721	На
RU1722	других
RU1723	участках
RU1724	реки,
RU1725	где
RU1726	нет
RU1727	порогов,
RU1728	численность
RU1729	платизавров
RU1730	меньше,
RU1731	но
RU1732	здесь
RU1733	пищи
RU1734	много,
RU1735	а
RU1736	значит,
RU1737	много
RU1738	и
RU1739	ящериц.
RU1740	Пустыни
RU1741	возникают
RU1742	в
RU1743	результате
RU1744	нехватки
RU1745	воды,
RU1746	но
RU1747	обитающие
RU1748	в
RU1749	них
RU1750	животные
RU1751	чаще
RU1752	погибают
RU1753	не
RU1754	от
RU1755	жары
RU1756	или
RU1757	жажды,
RU1758	а
RU1759	от
RU1760	недостатка
RU1761	пищи.
RU1762	Каким
RU1763	же
RU1764	образом
RU1765	травоядному
RU1766	такого
RU1767	размера
RU1768	удаётся
RU1769	выживать
RU1770	там,
RU1771	где
RU1772	совсем
RU1773	нет
RU1774	растительности?
RU1775	Живущие
RU1776	в
RU1777	Намибии
RU1778	слоны
RU1779	-
RU1780	самые
RU1781	выносливые
RU1782	животные
RU1783	в
RU1784	Африке.
RU1785	И
RU1786	неспроста.
RU1787	скудная
RU1788	пища
RU1789	разбросана
RU1790	по
RU1791	всей
RU1792	пустыне,
RU1793	поэтому
RU1794	слоны,
RU1795	двигаясь
RU1796	в
RU1797	её
RU1798	поисках
RU1799	по
RU1800	высохшим
RU1801	руслам,
RU1802	проходят
RU1803	в
RU1804	день
RU1805	до
RU1806	80
RU1807	километров.
RU1808	Временами
RU1809	ситуация
RU1810	кажется
RU1811	безнадёжной.
RU1812	В
RU1813	таком
RU1814	ландшафте
RU1815	слоны
RU1816	кажутся
RU1817	чужими.
RU1818	Да
RU1819	и
RU1820	не
RU1821	только
RU1822	они.
RU1823	Как
RU1824	ни
RU1825	странно,
RU1826	здесь
RU1827	живут
RU1828	и
RU1829	львы.
RU1830	В
RU1831	саваннах
RU1832	огромные
RU1833	стада
RU1834	копытных
RU1835	кормят
RU1836	прайды
RU1837	львов,
RU1838	которые
RU1839	состоят
RU1840	из
RU1841	20
RU1842	особей
RU1843	и
RU1844	больше,
RU1845	но
RU1846	для
RU1847	жизни
RU1848	в
RU1849	пустыне
RU1850	львам
RU1851	пришлось
RU1852	изменить
RU1853	свои
RU1854	привычки,
RU1855	здесь
RU1856	прайды
RU1857	намного
RU1858	меньше,
RU1859	а
RU1860	ихтерритория
RU1861	намного
RU1862	обширней.
RU1863	Есть
RU1864	ещё
RU1865	одна
RU1866	проблема
RU1867	-
RU1868	их
RU1869	добыча
RU1870	постоянно
RU1871	перемещается.
RU1872	Как
RU1873	и
RU1874	слоны,
RU1875	львы
RU1876	должны
RU1877	преодолевать
RU1878	большие
RU1879	расстояния,
RU1880	чтобы
RU1881	прокормиться.
RU1882	Но
RU1883	есть
RU1884	места,
RU1885	куда
RU1886	львы
RU1887	никогда
RU1888	не
RU1889	заходят,
RU1890	эти
RU1891	песчаные
RU1892	барханы.
RU1893	Антилопы
RU1894	ориксы
RU1895	это
RU1896	знают.
RU1897	Львы
RU1898	должны
RU1899	ожидать
RU1900	на
RU1901	краю
RU1902	песчаного
RU1903	моря,
RU1904	пока
RU1905	ориксы
RU1906	выйдут
RU1907	из
RU1908	песков,
RU1909	ведь
RU1910	рано
RU1911	или
RU1912	поздно
RU1913	им
RU1914	понадобятся
RU1915	пища
RU1916	и
RU1917	вода.
RU1918	А
RU1919	тем
RU1920	временем
RU1921	слоны
RU1922	обнаружили
RU1923	одно
RU1924	из
RU1925	своих
RU1926	любимых
RU1927	лакомств.
RU1928	Конечно,
RU1929	трава
RU1930	составляет
RU1931	основу
RU1932	рациона
RU1933	всех
RU1934	слонов,
RU1935	но
RU1936	это
RU1937	стадо
RU1938	выкапывает
RU1939	из
RU1940	земли
RU1941	коренья,
RU1942	которые
RU1943	содержат
RU1944	больше
RU1945	питательных
RU1946	веществ
RU1947	и
RU1948	влаги,
RU1949	чем
RU1950	стебли
RU1951	растений.
RU1952	В
RU1953	пустыне,
RU1954	где
RU1955	пищи
RU1956	всегда
RU1957	не
RU1958	хватает,
RU1959	такое
RU1960	поведение
RU1961	может
RU1962	спасти
RU1963	жизнь.
RU1964	Но
RU1965	всё
RU1966	может
RU1967	измениться
RU1968	в
RU1969	один
RU1970	миг.
RU1971	судьба
RU1972	многих
RU1973	пустынь
RU1974	зависит
RU1975	от
RU1976	дождей,
RU1977	которые
RU1978	идут
RU1979	очень
RU1980	далеко,
RU1981	эта
RU1982	вода
RU1983	выпала
RU1984	дождём
RU1985	в
RU1986	горах
RU1987	в
RU1988	160
RU1989	километрах
RU1990	отсюда.
RU1991	Такой
RU1992	паводок
RU1993	после
RU1994	отдалённого
RU1995	ливня
RU1996	-
RU1997	внезапное
RU1998	наводнение,
RU1999	которое
RU2000	длится
RU2001	всего
RU2002	один
RU2003	день.
RU2004	Это
RU2005	происходит
RU2006	лишь
RU2007	раз,
RU2008	максимум
RU2009	два
RU2010	раза
RU2011	в
RU2012	год.
RU2013	Песчаное
RU2014	дно
RU2015	реки
RU2016	действует
RU2017	как
RU2018	лист
RU2019	промокательной
RU2020	бумаги,
RU2021	оно
RU2022	жадно
RU2023	впитывает
RU2024	воду,
RU2025	которая
RU2026	появляется
RU2027	здесь.
RU2028	Каждый
RU2029	квадратный
RU2030	метр
RU2031	песка,
RU2032	увлажнённый
RU2033	этой
RU2034	рекой
RU2035	повысит
RU2036	шансы
RU2037	на
RU2038	выживание
RU2039	обитающих
RU2040	здесь
RU2041	животных.
RU2042	Русло
RU2043	наполняется
RU2044	водой.
RU2045	К
RU2046	сожалению,
RU2047	лишь
RU2048	временно.
RU2049	В
RU2050	других
RU2051	частях
RU2052	Африки
RU2053	слоны
RU2054	пьют
RU2055	каждый
RU2056	день,
RU2057	но
RU2058	здесь
RU2059	воды
RU2060	почти
RU2061	никогда
RU2062	не
RU2063	бывает,
RU2064	поэтому
RU2065	южноафриканские
RU2066	слоны
RU2067	пополняют
RU2068	запасы
RU2069	жидкости
RU2070	раз
RU2071	в
RU2072	4-5
RU2073	дней.
RU2074	За
RU2075	неделю
RU2076	этот
RU2077	паводок
RU2078	вызвал
RU2079	буйный
RU2080	рост
RU2081	растений,
RU2082	этого
RU2083	достаточно,
RU2084	чтобы
RU2085	заставить
RU2086	ориксов
RU2087	покинуть
RU2088	барханы
RU2089	и
RU2090	спуститься
RU2091	к
RU2092	днищу,
RU2093	поросшему
RU2094	зеленью.
RU2095	И
RU2096	это,
RU2097	конечно,
RU2098	редкая
RU2099	возможность
RU2100	для
RU2101	львов
RU2102	наесться
RU2103	впрок.
RU2104	Мяса
RU2105	этого
RU2106	орикса
RU2107	хватит
RU2108	львиной
RU2109	семье
RU2110	максимум
RU2111	на
RU2112	неделю.
RU2113	Но
RU2114	теперь,
RU2115	когда
RU2116	берега
RU2117	реки
RU2118	зазеленели
RU2119	травой,
RU2120	охотиться
RU2121	будет
RU2122	легче.
RU2123	Для
RU2124	львов
RU2125	и
RU2126	антилоп
RU2127	ориксов
RU2128	хорошие
RU2129	времена
RU2130	проходят
RU2131	быстро,
RU2132	но
RU2133	именно
RU2134	благодаря
RU2135	этим
RU2136	коротким
RU2137	периодам
RU2138	изобилия,
RU2139	они
RU2140	могут
RU2141	жить
RU2142	в
RU2143	пустынях
RU2144	круглый
RU2145	год.
RU2146	Долина
RU2147	смерти
RU2148	-
RU2149	самое
RU2150	жаркое
RU2151	место
RU2152	на
RU2153	Земле,
RU2154	но
RU2155	вода
RU2156	способна
RU2157	преобразить
RU2158	даже
RU2159	эту
RU2160	раскалённую
RU2161	пустыню.
RU2162	Один
RU2163	единственный
RU2164	дождь
RU2165	может
RU2166	дать
RU2167	толчок
RU2168	к
RU2169	росту
RU2170	семян,
RU2171	которые
RU2172	пролежали
RU2173	в
RU2174	земле
RU2175	десятки
RU2176	лет.
RU2177	Такого
RU2178	буйного
RU2179	цветения
RU2180	здесь
RU2181	не
RU2182	было
RU2183	больше
RU2184	века.
RU2185	Периоды
RU2186	цветения
RU2187	в
RU2188	Долине
RU2189	смерти
RU2190	коротки,
RU2191	но
RU2192	достаточно
RU2193	регулярны,
RU2194	чтобы
RU2195	поддерживать
RU2196	жизнь
RU2197	в
RU2198	пустыне.
RU2199	Все
RU2200	обитатели
RU2201	пустыни
RU2202	ждут
RU2203	этого
RU2204	внезапного
RU2205	расцвета,
RU2206	и
RU2207	когда
RU2208	наступает
RU2209	долгожданное
RU2210	изобилие,
RU2211	надо
RU2212	брать
RU2213	от
RU2214	него
RU2215	всё.
RU2216	Ни
RU2217	один
RU2218	другой
RU2219	вид
RU2220	на
RU2221	планете
RU2222	не
RU2223	реагирует
RU2224	на
RU2225	хорошие
RU2226	условия
RU2227	так
RU2228	быстро
RU2229	и
RU2230	активно,
RU2231	как
RU2232	пустынная
RU2233	саранча.
RU2234	яйца
RU2235	саранчи,
RU2236	пролежавшие
RU2237	в
RU2238	земле
RU2239	20
RU2240	лет,
RU2241	вдруг
RU2242	начинают
RU2243	оживать.
RU2244	Личинки
RU2245	саранчи
RU2246	похожи
RU2247	на
RU2248	взрослых,
RU2249	но
RU2250	на
RU2251	этой
RU2252	стадии
RU2253	у
RU2254	них
RU2255	ещё
RU2256	нет
RU2257	крыльев.
RU2258	Их
RU2259	корм
RU2260	-
RU2261	растительность
RU2262	любого
RU2263	вида
RU2264	-
RU2265	они
RU2266	находят
RU2267	по
RU2268	запаху.
RU2269	Обычно
RU2270	взросление
RU2271	проходит
RU2272	за
RU2273	4
RU2274	недели,
RU2275	но
RU2276	при
RU2277	благоприятных
RU2278	условиях,
RU2279	как
RU2280	сейчас,
RU2281	развитие
RU2282	личинок
RU2283	идёт
RU2284	ускоренными
RU2285	темпами.
RU2286	Кактолько
RU2287	в
RU2288	одном
RU2289	месте
RU2290	пища
RU2291	заканчивается,
RU2292	взрослые,
RU2293	успевшие
RU2294	обзавестись
RU2295	крыльями,
RU2296	выделяют
RU2297	феромоны
RU2298	-
RU2299	химические
RU2300	вещества,
RU2301	которые
RU2302	сообщают
RU2303	остальным,
RU2304	что
RU2305	надо
RU2306	лететь
RU2307	дальше.
RU2308	щтдельные
RU2309	группы
RU2310	объединяются
RU2311	в
RU2312	единый
RU2313	рой.
RU2314	Одна
RU2315	взрослая
RU2316	саранча
RU2317	съедает
RU2318	количество
RU2319	пищи,
RU2320	равное
RU2321	её
RU2322	собственному
RU2323	весу
RU2324	каждый
RU2325	день,
RU2326	а
RU2327	целый
RU2328	рой
RU2329	может
RU2330	уничтожить
RU2331	сотни
RU2332	тонн
RU2333	растительности.
RU2334	Им
RU2335	нужно
RU2336	лететь
RU2337	дальше.
RU2338	Рой
RU2339	перемещается
RU2340	вместе
RU2341	с
RU2342	ветром,
RU2343	это
RU2344	-
RU2345	самый
RU2346	экономичный
RU2347	способ
RU2348	передвижения.
RU2349	Перемещаясь
RU2350	вместе
RU2351	с
RU2352	потоками
RU2353	воздуха,
RU2354	они
RU2355	всегда
RU2356	летят
RU2357	в
RU2358	области
RU2359	пониженного
RU2360	давления,
RU2361	туда,
RU2362	где
RU2363	ветер
RU2364	встречается
RU2365	с
RU2366	дождём
RU2367	и
RU2368	растительность
RU2369	идёт
RU2370	в
RU2371	рост.
RU2372	Один
RU2373	летящий
RU2374	рой
RU2375	сливается
RU2376	с
RU2377	другим
RU2378	и
RU2379	образует
RU2380	огромные
RU2381	стаи,
RU2382	численностью
RU2383	несколько
RU2384	миллиардов
RU2385	особей,
RU2386	шириной
RU2387	до
RU2388	60
RU2389	километров.
RU2390	На
RU2391	своём
RU2392	пути
RU2393	они
RU2394	уничтожают
RU2395	всё
RU2396	съедобное.
RU2397	Это
RU2398	одно
RU2399	из
RU2400	самых
RU2401	захватывающих
RU2402	зрелищ
RU2403	на
RU2404	планете
RU2405	Земля.
RU2406	явление
RU2407	кратковременно
RU2408	и
RU2409	редко
RU2410	достигаеттаких
RU2411	масштабов.
RU2412	Кактолько
RU2413	еда
RU2414	закончится,
RU2415	мерный
RU2416	рокот
RU2417	миллиардов
RU2418	бьющихся
RU2419	крыльев
RU2420	снова
RU2421	сменится
RU2422	звуком
RU2423	гуляющего
RU2424	по
RU2425	пустыне
RU2426	ветра.
RU2427	Продюсер
RU2428	ХЬЮ
RU2429	КОРДИ
RU2430	Операторы:
RU2431	БАРРИ
RU2432	БРАТТОН,
RU2433	КИД
RU2434	БРАсТ,
RU2435	РИЧАРД
RU2436	БАРТОН,
RU2437	МИРТИН
RU2438	КОЛБЕК,
RU2439	ТЕД
RU2440	ГИФФОРДс
RU2441	и
RU2442	другие
RU2443	Композитор
RU2444	ДЖОРДЖ
RU2445	ФЕНТОН
RU2446	Продюсер
RU2447	сериала
RU2448	АЛИсТЕР
RU2449	ФОТЕРГИЛЛ
RU2450	Производство
RU2451	"Би-Би-си"
RU2452	Рассказывал
RU2453	НИКОЛАЙ
RU2454	ДРОЗДОВ
