АПЛАНЕТА АДГЬЫЛ	% ПЛАНЕТА ЗЕМЛя
Ари акарликатә дрот ауп, иара лорикан ҳәагьы иашьҭоуп.	Это - самец карликовой дрофы, зовут её ещё флорикан.
Аҭаацәараԥҵара аамҭа анааилак иҳаракӡаны ихалар акәхоит .	Когда наступает брачный период, ему приходится так высоко взлетать, чтобы самка заметила.
Атропикатә Индиа аҵиаатә дәкаршәрақәа рҿы иҟоуп аҳаскьын зфо зегь раасҭа идуу, зегьы иреиҵоу аԥстәқәа.	На травянистых равнинах тропической Индии обитают и самые крупные травоядные планеты, и самые мелкие.
Жьак иаҟароу акарликатә ҳәақәа Адгьыл аҿы зегь раасҭа иссоу, ыхкы маҷӡоу абынҳәақәа.	Карликовые свиньи размером не больше зайца, это самые мелкие и редкие из всех диких свиней.
Ан аҳаскьын еизнагоит, аха афатә азы акәӡам. Акарликатә ҳәа - аҭра ҟанаҵоит	самка собираеттраву, но не для еды. Карликовая свинка стоит гнездо.
Ашьарақәа убри аҟара ихәыҷуп, анапык ианӡалоит. Жәаба аҵоуп.	Поросятки у неё такие маленькие, что каждый умещается на ладони. А у неё их 10.
Шьара ԥшӡақәоуп.	Очаровательные свинки.
Абар аҳаскьын заҟарахо, амреи аӡи анагымха.	Вот каких размеров может достичь трава, при неограниченном количестве солнечного света и воды.
Аха атропикатә ҭыԥқәа рҿы акаршәрақәа реиҳарак рыҟны ақәоурақәа рышьҭахь аарҩарахоит.	Но на большинстве равнин тропического пояса за сезоном дождей обычно следует засуха.
Африкатәи асаваннақәа рҿы аҳәырҭақәеи аӡи ирышьҭаланы. ицоит аҵиаа зфо аԥстәқәа.	По африканским саваннам в поисках пастбищ и воды маршируюттравоядные.
Ақәа анаму арҭ акаршәрақәа рҿы аарҩарахоит, аҳаскьын аҭыԥан ииуеит асабеи аԥслымӡи.	Без дождей на эти равнины приходит засуха, и трава уступает пыли и песку.
Асланқәа рыԥсҭазара уашәшәырахоит урҭ есҽны аӡы рыжәлароуп.	слоны подвергаются серьёзной опасности, ведь им нужно пить практически ежедневно.
Абас, аӡы иашьҭаланы, Амра иаблыз акаршәрақәа ирықәланы Акырӡа хара ицоит	И вот, гонимые жаждой, они проходят сотни километров по выжженным равнинам.
Хадара зуа ан – аматриарх. Иамоу агәынкылара иақәгәыӷны уажәаԥхьа зны аҭаацәа иеиқәзырхахьаз аӡыжәырҭахь иагоит	Главная самка - матриарх - полагается на свою память и ведёт семью к водопоям, которые спасали их в предыдущие годы.
Ара макьана аӡы ыҟоуп, аха иӡышо егьырҭ иеиуеиԥшым аԥстәқәагьы ыҟоуп	Здесь вода ещё есть, но ею приходится делиться с разношерстной толпой изнывающих от жажды животных.
Ари аамҭа уадаҩуп.	Это - напряжённые времена.
Ҽынла аӡыжәырҭаҿы аҳра руеит асланқәа,. аха ианааилахәлалак амчқәа рҽеиҭнырыԥсахлоит.	Днём на водопое властвуют слоны, но с наступлением сумерек равновесие сил смещается.
Аҵиаа зфо аԥстәқәа аӡы иашьҭаланы арахь уахынлагьы иаауеит.	Мучимые жаждой травоядные продолжают прибывать и ночью.
Аныхьшәашәароу аныҟәара еиҳа иеиӷьуп.	В прохладе путешествовать легче.
Аха алашьцараҿы арольқәа ԥсаххоит	Но в темноте роли меняются.
Асланқәа уахынла ҳара ҳаасҭа иеиӷьны ирбаӡом.	Ночное зрение слонов не многим лучше, чем у нас с вами.
Алымқәа, ацыгәқәа зегь реиԥш рыла абанӡеиӷьу.	А у львов глаза куда более чувствительны, как у всех кошек.
Абынцыгәқәа амла иакуеит, асланқәа уи еилыркаауеит.	Дикие кошки голодны, и слоны это чувствуют.
Абжьааԥны алымқәа асланқәа ирышьҭаӡам, аха аамҭа зеиԥшроу еиԥш уныҟәароуп.	Обычно львы не охотятся на слонов, но отчаянные времена требуют отчаянных мер.
Анҭ асланқәа аԥшқақәагьы рылоуп. Урҭ ртәы еиҳа имариоуп.	В этом стаде слонов есть детёныши - более лёгкая добыча.
Аха неишьас иауҭои дара рҟынӡа?	Только как до них добраться?
Адуқәа аԥәқақәа иаарыкәшаны игылоит рааигәа узымнеиуа.	Взрослые окружают детёнышей и образуют неприступную стену.
Асланқәа ирыцәхҟьаз ааира иаҿуп. Ари асдан амацара иааит.	Продолжают прибывать отставшие от стада слоны. Этот слон пришёл один.
Аха алымқәа рзы идуцәоуп.	Но он слишком велик для львов.
Ан еиҳа иеиҵоуп. Иҟало аабап!	А вот этот поменьше. Не попробовать ли?
Алым амацара ианыҟоу акгьы алшаӡом, аха рызегьы анеицуУи даҽа усуп.	В одиночку у льва нет никаких шансов, но целый прайд - это другое дело.
Ара 30 ыҟоуп, дара зегьы асланқәа иахьа ирымбеит.	Здесь 30 львов, и все они - опытные охотники на слонов.
Иаӡбаз жәбоит. Аслан иақәтәеит ихаланы.	Какая охотничья тактика. Львица верхом на слоне.
Алымқәа аиааит.	Львы победили.
Ани аслан ажьы дара зегьы мчыбжьык инеиҵамкәа ирызхоит.	Мяса этого слона хватит прайду как минимум на неделю.
Асланқәа аӡыжәырҭақәа шшәарҭоу рдыруеит, аха уаҳа ԥсыхәа рымам.	слоны знают, что эти водопои опасны, но у них нет выбора.
Ара имҩаԥысуа а хҭысқәа иуарҳәоит арҭ акаршәрақәа рҿы аԥсҭазааразы шаҟа аҵанакуа.	Драмы, которые здесь разворачиваются - это жестокое напоминание о том, насколько важна вода для жизни на этих равнинах.
Аарҩарақәа анынҵәалак Шьаҭанкыла аԥсахрқәа мҩаԥысуеит.	Когда засушливый сезон наконец заканчивается,
Аконтинент аҿы ақәоурақәа ирылагоит.	в выжженных солнцем африканских саваннах происходят радикальные перемены. По континенту проносятся дожди,
Зыда ԥсыхәа ыҟам аҳаскьын еиҭа гылоит.	необходимая трава оживает снова, и стада возвращаются.
Аԥстәқәагьы хынҳәуеит. Амызқәа зегьы рыҩныҵҟа иԥсаҟьаны иҟоуп. ӡыжәырҭак ахьыҟоу еизоит.	На протяжении месяцев они были разбросаны по огромной площади, собираясь вокруг крошечных водопоев,
Абар еиҭа аамҭа бзиақәа ааит.	и вот опять наступили хорошие времена.
Африкатәи асаваннқәа еиԥшӡам. Ара ақәаӡы адәкаршәрақәа ирықәсны ицоит.	Некоторые африканские саванны не похожи на другие. Здесь дождевая вода растекается по плоским равнинам.
Аҳаскьын зегьы аӡы ахыҵәо иҟоуп, аха шыҟац иҟоуп.	Трава покрыта водой полностью, но продолжает расти.
Иџьашьахәуп аҳаскьын ҵиаақәа. еиқәхашьас иҟарҵо.	Удивительные травянистые растения могут выдержать всё:
Аӡхыҵрақәа, амца, амра ацара, ахьҭа бааԥсқәа – зегьы ирааиуеит.	наводнения, пожары, солнцепёк и стужу.
Фымызтәи аарҩарақәа рышьҭахь Асабатә каршәрақәа рҭыԥан Еиҭа аҳаскьын гылоит.	После шести месяцев засухи на месте пыльных равнин снова вырастаеттравяной покров.
Аҳаскьын ҿа иашьҭаланы акыр харантә иаауеит аԥстәқәа.	Ради свежей зелени животные проделывают огромные расстояния.
Аԥстәы хкқәак даара акыр иныҟәаны иаауеит Аҭхаџьра аамҭа иахьӡаразы.	Многие виды животных совершают миграции эпических масштабов, чтобы застать время изобилия на месте.
Еиҳа иӷәӷәоу ԥстәқәак алшықәсанык ара иҟоуп.	Некоторые находчивые животные обитают здесь круглый год.
Ара иҟоуп есқьынгьы амаамынқәа, аха аӡы зхыҵәаз адәкаршәрақәа рҿы рыфатә рыԥшааразы рхымҩаԥгашьагьы аҽеиҭанакроуп.	Бабуины живут здесь постоянно, но для того, чтобы добывать пропитание на затопленных равнинах, им пришлось изменить своё поведение.
Ара афатә рацәоуп, аха уи ахьыҟоу анеира ус имариам.	Пищи здесь много, но добраться до неё бывает не так-то просто.
Амҩан шәҭык ма даҽа иаҵәарак наҿыҵанаҟәшәоит.	На ходу успевает подкрепиться цветочком или зелёным стеблем.
Ари амаамын хәыҷы аусқәа уадаҩуп, аӡы инылшьауҵәҟьа ирыманы ицоит.	А вот малышу нелегко, его волокут прямо по воде.
Ҳәарада, ари иаргьы иагәаԥхом, аха аха иахьбарроугьы азымдыруа иҟам.	Кончено, эта вода доставляет детёнышу неудобства, но он знает, где найти сухое место - забраться к маме на спину.
Абар иԥсылоу акамаршша.	сочная улитка - это достойная компенсация за промокшие лапы.
Аарҩараеи амлакреи нархыганы, аԥстәқәа аамҭала уи рхашҭуеит.	Пережив засуху и голод животные могут на время забыть о них.
Аамҭақәа уажәы-уажәы рҽахьеиҭаркуа апланетаҿы Акаршәра дуқәа аҭхаџьреи амлакреи иахьеимаркуа ҭыԥуп.	На планете, которой управляют сезоны, великие равнины - это изменчивое царство изобилия и голода.
Асаваннақәеи, абнақәеи, абнаршәырақәеи Ианрысакьаҳәамҭоу Адгьыл иқәу хыԥхьаӡара рацәала аԥстәқәа акрырҿарҵоит.	В пик своего расцвета степи, саванны и прерии дают пищу самым многочисленным скоплениям животных на Земле.
Продюсер джОННИ КИЛИНГ Операторы: РИЧАРД БАРТОН, МАРТИН КОЛБЕК, джАОТИН ВАНО, МАЙК ХОЛДИНГ, МАЙКЛ КЕЛЕМ Композитор джОРдж AЕНТОН Продюсер сериала АЛИОТЕР AОТЕРГИЛЛ Рассказывал НИКОЛАЙ ДРОЗДОВ	Продюсер ДЖОННИ КИЛИНГ Операторы: РИЧАРД БАРТОН, МАРТИН КОЛБЕК, ДЖАсТИН ЭВАНс, МАЙК ХОЛДИНГ, МАЙКЛ КЕЛЕМ и другие Композитор ДЖОРДЖ ФЕНТОН Продюсер сериала АЛИсТЕР ФОТЕРГИЛЛ Рассказывал НИКОЛАЙ ДРОЗДОВ
