Пираниқәагьы рызкылыԥшуеит, иара аамҭа анааи, ихәу аԥсыӡ мҵарсны ицаразы.	Пираньи тоже ожидают своего часа и готовы схватить раненую рыбу.
Аишәа чара мыжда иалагеит.	Начинается безумный пир.
Минуҭқәак рыла, аԥсыӡ абаҩ аҟынӡа, ихыҟаҟааны иалгоит.	Пираньи могут за считанные минуты обглодать рыбу до костей.
Аԥсыӡ рацәа афаразы арахь иааиуеит аӡыԥсаатәи аӡхықәԥсаатәи ргәыԥ дуқәа.	Многочисленными рыбами кормятся так же большие стаи водоплавающих и околоводных птиц.
Пантанало аӡбаара иамоу 650 ԥсаатә хкы иреиуоуп Абна шьапызаҵәқәа рааигәа ихтәалоит.	Розовые колпицы - лишь один из 650 видов птиц, обитающих в болотах Пантанала.
Урҭ зқьырацәала еицу ԥсаатә гәыԥны рҽеидыркылоит.	Колпицы гнездятся рядом с лесными аистами и образуют многотысячные колонии.
Агәылшьап-каиманқәа аӡаҵаҟа рыҽхәыҵакны иԥшуп, афатә ахала инеины, рсаса иҭаҳаанӡа ҳәа.	Крокодиловые кайманы, притаившись под водой, ждут, пока пища сама упадёт к ним в пасть.
Аӡиасқәа амшын аҟынӡа ианынаӡалак, рныҟәашәа иагдырхоит. Иҵаатәалоу ажәпара ааныжьны адельта шьақәдыргылоит.	Там, где реки, наконец, достигают моря, они замедляют свой бег, освобождаются от осадка и образуют дельты.
Бангладеш ианнеи аӡиасқәа Ганги Брахмапутреи еицыланы адунеи аҿы зегь иреиҳау аӡышьҭра аԥырҵоит.	В Бангладеш реки Ганг и Брахмапутра сливаясь, образуют самую большую дельту в мире.
Есышықәса урҭ Гималаи ашьхақәа ҩ-нызықь млн тонн алышәшәатә шьақәгыларақәа рыҵыӡәӡәааны, аокеан ахь ирыманы ицоит.	Каждый год они вымывают в гималаях почти 2 тысячи миллионов тонн осадочных пород и переносят их в океан.
Аӡымахәҭақәа рҿы – дельта иҟоуп адунеи аҿы зегь иреиҳау абна Сундарбан	В дельте находится самый большой мангровый лес в мире - сударбан.
Арҭ абна џьашьахәқәа аӡхықәқәа рҿоуп иахьрызҳауа, аӡқәеи амшыни ахьеиԥыло аҭыԥаҿы.	Эти необычные леса растут по всем тропикам в прибрежной зоне, там, где реки встречаются с морем.
Адыяаҷафаҩцәа – амакакақәа, амангра жәырҭрақәа ирылоуп.	Макаки-крабоеды обитают в мангровых зарослях.
Индонезиа, иџьаушьаратәы иҟоуп,аха - арҭ амаамынқәа аӡаҵаҟа анхара иашьцылеит.	В Индонезии макаки приспособились к уникальному для обезьян водному образу жизни.
Аӡаҵаҟа афатә еизыргоит.	Они собирают пищу под водой.
Уи адагьы, ҽынла, аншоуроу рыҽдырхьшәашәоит	Кроме того, в воде они охлаждаются во время дневной жары.
Арҭ аӡқәа, иара убас, тәамҩахә змам амаамын қәыԥшқәа рзы хәмарырҭоуп.	Протоки служаттак же игровой площадкой для неугомонных молодых макак.
%ьоукы аӡаҵаҟа ибзианы аӡсашьа рҵеит.	Некоторые молодые освоили подводное плавание.
Урҭ аӡаҵаҟа минуҭк бжак рыԥсыԥ алагаҩагара аанкылара рылшоит.	Они могут задерживать дыхание на полминуты, и, похоже, ныряют исключительно для удовольствия.
Аӡсара шыргәаԥхогьы убаратәы иҟоуп.	Но, конечно, навыки полученные в процессе игры,
Хымԥада, арҭ аныхәмаруа ирҵаз зегьы хәарҭамхар ауӡом амангра бнақәа рҿы ԥхьаҟатәи рыԥсҭазааразы.	несомненно, пригодятся им в дальнейшей жизни в мангровых лесах.
Еиҳа ихьшәашәоу аҭбаарақәа рҿы, аӡҭаҳарақәа рыҟны иӡаатәало алыкь ҵаа, иқәиаауа аҵиаа иабзоураны ишьақәгылоит апланетаҿы зегь реиҳа ибеиоу, ичашәу аекосистема 400 нызықь ҟыз шкәакәа, ԥырны иаауеит	В более холодных широтах ил, откладывающийся в эстуариях, заселяют солончаковые травы. В результате образуется одна из самых плодородных экосистем на планете.
Еиду Америкатәи аштатқәа рыҟны Атлантикатәи амшын аԥшаҳәаҿы аӡҭаҳарақәа рахь, рыԥсы ааиҭакны, ԥхьаҟа ирзыԥшу амҩа хара иқәларазы	400 тысяч белых гусей слетаются в эстуарии на Атлантическом побережье соединённых Штатов, чтобы отдохнуть и набраться сил перед долгой миграцией.
Абра иагьхыркәшахоит аӡиасқәа рныҟәара, Еицыланы, ашьхақәа ҵрыӡәӡәаауеит, аокеан ахь иааргарзы Амҩа иахьану, урҭ рыӡқәа абарақьаҭра рыманы иаауеит апланета Адгьыл иқәынхо зегьы рзы.	Здесь кончается путешествие рек, сообща они размывают горы и переносят их в океан, и на протяжении всего пути их воды несут изобилие обитателям планеты Земля.
