Апланета адгьыл	ПЛАНЕТА ЗЕМЛя
Ахьшәашәарақәа аныҟалалак арҭ анаарақәа рҿы дара роуп ԥшәымара зуа.	И с наступлением холодов они становятся единоличными хозяевами этих склонов.
Ахамы ԥха мацара ара иазымхар ҟалоит.	Но даже при наличии тёплой шубы дополнительное утепление никогда не помешает.
Арҭ амаамынқәа иалырхша рымоуп: Аҵла ацәа ргәы ахшәар, ашьха ашьапахьы илбаар рылшоит, иаҳа иахьыԥхарроу, нас арахь ааԥнынӡа ихнымҳәыр ҟалоит.	У этих обезьян есть выбор: если им надоест древесная кора и другой подножный корм, они могут спуститься вниз с горы, туда, где теплее, и не возвращаться сюда до весны.
Асы шышьҭыҵыз еиԥш, ашәҭра иалагоит.	Кактолько сходит снег, наступает пора цветения.
Ишәҭуеит аца.	Зацветает вишня.
Ахәажә.	Рододендроны.
Ара, иара аԥсадгьыл аҿы ирацәаны иазҳауеит, аԥын шәыгала ирҩычоит аԥсабара.	Здесь, у себя на родине, они образуют густые заросли, и наполняют пейзаж яркими весенними красками.
Ааԥын арҭ абнақәа рахь иаауеит зеиуа хкы уҭаху аԥстәқәа.	Весной в эти леса мигрирует множество самых разных животных.
Аҵла шәҭышқәа рымҵан Рышәҵатәы ԥшӡақәа цәырыргоит.	Под цветущими деревьями проходит показ ярких нарядов.
Ааԥын аҭаацәаралара иаамҭоуп - мрагыларатәи акаԥкаԥқәеи, гималаитәи аманалқәеи, ахеиқәаҵәа торгопанқәеи, акаԥкаԥ ҟаԥшьқәеи.	Весной наступает брачный сезон у восточных фазанов, гималайских маналов. У черноголовыхторгопанов. И у кровавых фазанов или сермунов.
Акабарга арахь иаауеит аҳаскьын ҿа афаразы.	Кабарга приходит сюда полакомиться молодой порослью.
Арбаӷь арцына ахыԥша акызаап.	самец уловил запах потенциальной партнёрши.
Панда хәыҷы аԥсабараҿы, шамахамзар, иубаӡом.	Малую панду редко увидишь в природе.
Уаанӡа аенот ҭаацәара иаҵанакуан,	Раньше её причисляли к семейству енотовых,
Уажәы ашьха мшәы хәыҷы ҳәа иашьҭоуп, апанда ду зхылҵызгьы иароуп.	теперь чаще считают мелким горным медведем, так как она - родич большой панды.
Аԥхын агәҭа апанда хәыҷы аешьа аҳаԥаҿы хазы аҽаҵәахуеит.	В середине лета более крупный и известный собрат малой панды уединяется в пещере.
Ара апанда ду мчыбжьык зхыҵуа аԥа хәыҷы акраҿанаҵоит. Чымазара ҿкык иацәнахьчаразы иарбзоит.	Здесь большая панда выкармливает крошечного детёныша недельного возраста. Она нежно вылизывает его, чтобы защитить от инфекции.
Ан хымчыбжьа ари аҳапы иҭыҵӡом. Аԥа ахы изахәаӡом.	Мать проведёт в этой пещере три недели не выходя наружу. Её детёныш совершенно беспомощен.
Ирласынгьы иазҳаӡом, иафо акалам ауп. Уи ахш арыжәпаӡом.	Он растёт медленно, ведь молоко, производимое на бамбуковой диете почти не содержит жира.
Ԥшьымчыбжьа ахыҵхьеит, аха макьана илашәуп, алақәа хнамтӡац.	В возрасте четырёх недель детёныш всё ещё слепой, глазки не открылись.
Хымыз рышьҭахь алақәа шаатра иаатуеит.	Его глаза открываются полностью через 3 месяца после рождения.
Имаҷуп зықәра наӡо амшәҳәарқәа, аҭаацәараԥҵараҟынӡа инеиуа.	У многих детёнышей мало шансов дожить до брачного возраста.
Панда аԥа ишахӡыӡаауа ала, имариам ашьха ԥсҭазаара иасимволуп.	Трепетная забота матери-панды о своём малыше - это трогательный символ непредсказуемости жизни в горах.
Ҳапланета аҳаракыра дуқәа рҿы зегьы аамҭалоуп ишыҟоу.	На высочайших вершинах нашей планеты ничто не может жить постоянно.
Џомолунгма, мамзаргьы Еверест – адунеи аҿы зегьы раасҭа иҳараку ҭыԥуп, Аҵыхәтәантәи арбагақәа рыла амшын азқәаҟнытә 8844 метра бжьоуп.	самая высокая точка мира, гора Джомолунгма или Эверест, по последним данным 8844 метра над уровнем моря,
Иара макьанагьы аизҳара иаҿуп.	она всё ещё продолжает расти,
Ари ҳдунеи хыбҵас иахагылоуп.	это крыша нашего мира.
Ари аҭыԥ аҿы анеира згәы иҭазкыз ажәаҩык рахьтә аӡәы ара наунагӡа дынхеит.	Из тех, кто пытался покорить эту гору, каждый десятый остался на ней навсегда.
Ихалазгьы ари ақәцә аҿы секундқәак рыда аҟазаара илшаӡом.	Те же, кому удалось дойти, смогли постоять на её вершине лишь несколько секунд.
Анепалцәа ари ашьха ҵыск ахыԥрааны изцаӡом ҳәа ирыԥхьаӡоит.	Непальцы называют её горой, над которой не может пролететь ни одна птица.
Аха есышықәса 50 нызықь инареиҳаны апҟа-ԥшӡақәа хыҵны ихоит.	Однако каждый год более 50 тысяч журавлей-красавок совершают одну из самых опасных миграций на земле.
Индиа аӡынра рхыргаразы ицарц, Гималаи ихыҵроуп.	Чтобы попасть в места зимовок в Индии им нужно перелететь через Гималаи.
Шьыжла иара ақәыцәқәа аԥша бааԥсқәа асуеит.	По утрам вершины находятся во власти свирепых ветров.
Апҟа-аԥшӡақәа акырӡа иҳаракны ихалароуп, уи иацәцаразы.	Красавкам нужно набрать высоту, чтобы избежать надвигающейся бури.
Уажәы аилаҩынтра бааԥс ианиеит. Имгьежьыр, даара ишәарҭоуп, иҭахар рылшоит.	сейчас они попали в зону сильной турбулентности. Придётся вернуться или они рискуют погибнуть.
Адырҩаҽны еиҭа рыҽԥыршәоит.	Новый день и новая попытка.
Ари агәыԥ бжьыла еибадырны еигәныҩуеит.	Члены стаи поддерживают тесный голосовой контакт.
. Амлеи аӡбеи иакны зымч каԥсаз аԥсаатә аҳаракырахь ихаларазы ҵаҟантә иҩеиуа аҳауа ԥха рхы иадырхәоит.	Птицы, ослабевшие от голода и жажды, используют для набора высоты воздушные течения - восходящие потоки тёплого воздуха.
Ари џьоукы рзы раԥхьатәи ԥырроуп. Џьоукы рзы ҵыхәтәантәихар алшоит.	Для многих это первый перелёт через Гималаи, для кого-то он станет последним.
Ашьха уарбақәа урҭ ирзыԥшуп, иреиҩаӡоит.	Беркуты уже поджидают их.
Дара ҩба-ҩбала аус еицыруеит апҟа ҿа агәыԥ иацрырҟьаразы.	Беркуты работают в паре, стараясь отделить молодого журавля от стаи.
Апҟа акы иацәцоит, аха егьи ашьапхыц наларԥаны иааннакылоит.	Журавль уходит от одного преследователя, но попадает в когти к другому.
Ари аҟыз ԥшқагьы хьанҭоуп, ашьха уарба ду аарлоуп ишыннакыло.	Даже молодой журавль очень тяжёл, и беркут удерживает его с большим трудом.
Ан уаҳа ԥшышьа амаӡам, амш есааира иеицәахоит, иццакыроуп.	Мать больше не может ждать, погода ухудшается, и надо торопиться.
Аԥсаатә аангылара рықәӡамкәа ицоит.	стая продолжает свой путь.
Хыхьҟа ихалацыԥхьаӡа, есааира рымҵәыжәҩақәа рышьҭыхра рцәуадаҩхоит.	При наборе высоты каждый взмах крыльями даётся ценой невероятных усилий.
Аҵыхәтәан, рымҩаҿы ирԥылоз зегь раасҭа ибааԥсыз аҳаракырақәа ириааит.	И вот, наконец, они преодолели самый высокий барьер, лежавший на их пути.
Ас еиԥш аҳаракырақәа ирандаҭларц згәы иҭазкыз зегь реиԥш, даргьы аангылара азин рымаӡам.	Но, как и все, кто бросает вызов таким высотам, они не имеют права останавливаться.
